accuracy	0.733333	0.756667	0.730000	0.740000	0.720000	0.760000	0.736667	0.790000	0.753333	0.760000	0.770000	0.710000	0.730000	0.740000	0.723333	0.753333	0.760000	0.733333	0.766667	0.766667	0.746667
recall	0.667029	0.662519	0.660109	0.647880	0.642375	0.671291	0.658198	0.706041	0.677778	0.663683	0.690087	0.629673	0.644524	0.636463	0.653186	0.673599	0.678407	0.662207	0.709865	0.698495	0.666670
precision	0.671962	0.700321	0.694079	0.673115	0.675889	0.694092	0.722917	0.740287	0.704678	0.693724	0.753660	0.664435	0.696241	0.655974	0.677778	0.710573	0.721057	0.682331	0.733523	0.711257	0.698895
f1score	0.669312	0.674102	0.668752	0.656367	0.650214	0.680000	0.667280	0.718746	0.687130	0.674130	0.704788	0.636364	0.653446	0.643640	0.660573	0.684659	0.690704	0.669312	0.718589	0.704042	0.675608
mcc	0.338955	0.360866	0.352555	0.320001	0.316494	0.364671	0.375580	0.445012	0.381509	0.356142	0.439169	0.292046	0.336818	0.291785	0.330049	0.382389	0.397181	0.343950	0.442756	0.409554	0.363874
srp	0.744898	0.797170	0.758294	0.785714	0.802956	0.781553	0.821596	0.804651	0.775510	0.835821	0.827225	0.790000	0.825641	0.807882	0.746341	0.765854	0.799065	0.779904	0.745192	0.745192	0.787023
sru	0.692308	0.772727	0.764045	0.759615	0.701031	0.755319	0.747126	0.717647	0.730769	0.686869	0.733945	0.750000	0.742857	0.731959	0.757895	0.789474	0.732558	0.670330	0.706522	0.739130	0.734106
fprp	0.468085	0.568966	0.529412	0.530612	0.584615	0.528302	0.621212	0.509091	0.519231	0.591837	0.588235	0.612903	0.704918	0.620000	0.516667	0.508772	0.561404	0.614035	0.421053	0.425926	0.551264
fpru	0.512821	0.535714	0.580645	0.611111	0.562500	0.517241	0.540541	0.428571	0.500000	0.484848	0.478261	0.583333	0.432432	0.517241	0.583333	0.571429	0.485714	0.371429	0.487179	0.516129	0.515024
tprp	0.832215	0.883117	0.867133	0.870748	0.905797	0.869281	0.911565	0.906250	0.868056	0.914474	0.914286	0.869565	0.880597	0.869281	0.841379	0.864865	0.885350	0.842105	0.867550	0.857143	0.876038
tpru	0.800000	0.883333	0.862069	0.838235	0.769231	0.861538	0.900000	0.859649	0.863636	0.787879	0.920635	0.843750	0.911765	0.823529	0.864407	0.916667	0.901961	0.857143	0.867925	0.852459	0.859291
spd	0.052590	0.024443	0.005751	0.026099	0.101925	0.026234	0.074470	0.087004	0.044741	0.148952	0.093280	0.040000	0.082784	0.075923	0.011553	0.023620	0.066507	0.109575	0.038671	0.006062	0.057009
aod	0.006260	0.016517	0.023085	0.023993	0.079341	0.009402	0.046118	0.063560	0.011825	0.116792	0.051813	0.027693	0.120659	0.074255	0.044847	0.057229	0.029539	0.113784	0.033251	0.042760	0.049636
eod	0.032215	0.000216	0.005064	0.032513	0.136566	0.007743	0.011565	0.046601	0.004419	0.126595	0.006349	0.025815	0.031168	0.045752	0.023027	0.051802	0.016610	0.015038	0.000375	0.004684	0.031206
