accuracy	0.836957	0.846318	0.839242	0.840200	0.840569	0.845581	0.847350	0.842191	0.845655	0.805336	0.840053	0.844918	0.843075	0.840643	0.842264	0.846982	0.841306	0.843296	0.852878	0.846097	0.841546
recall	0.728324	0.751556	0.738050	0.738171	0.716327	0.745819	0.738841	0.727112	0.740867	0.610140	0.728648	0.752347	0.728047	0.729818	0.736921	0.738370	0.713208	0.727780	0.754112	0.749474	0.729697
precision	0.808950	0.811786	0.808603	0.804344	0.823564	0.810931	0.822460	0.824069	0.813694	0.858793	0.815367	0.808689	0.825779	0.812657	0.810796	0.822197	0.830966	0.821963	0.824811	0.809980	0.818520
f1score	0.754301	0.773794	0.762207	0.761513	0.746952	0.769280	0.766477	0.756442	0.766139	0.624428	0.756058	0.773478	0.757611	0.756636	0.762115	0.766007	0.745207	0.756865	0.779371	0.771808	0.755335
mcc	0.531189	0.560113	0.542081	0.538464	0.529133	0.552929	0.555038	0.542586	0.549758	0.397580	0.537059	0.558200	0.545135	0.536113	0.542712	0.554264	0.531280	0.541616	0.574590	0.556172	0.538801
srp	0.204454	0.224975	0.214007	0.212610	0.175011	0.217659	0.194102	0.187204	0.205053	0.078489	0.193840	0.229725	0.191452	0.198253	0.207149	0.192685	0.164567	0.179937	0.219565	0.221568	0.195615
sru	0.089638	0.103014	0.099330	0.104318	0.082047	0.099081	0.101880	0.093070	0.100575	0.023466	0.099823	0.102158	0.081001	0.093261	0.097986	0.106140	0.086712	0.106475	0.085413	0.102366	0.092888
fprp	0.064962	0.073299	0.068796	0.071610	0.046796	0.070391	0.052533	0.048784	0.063146	0.008745	0.057189	0.077825	0.048874	0.061341	0.066096	0.051561	0.038755	0.046747	0.066740	0.072567	0.057838
fpru	0.031461	0.038422	0.037027	0.039342	0.025162	0.037364	0.037657	0.031606	0.037335	0.002786	0.033694	0.038233	0.029434	0.031628	0.034669	0.039494	0.026001	0.037926	0.025891	0.039392	0.032726
tprp	0.506360	0.557188	0.524457	0.524343	0.460490	0.542415	0.510482	0.488437	0.523944	0.232607	0.488672	0.559959	0.498111	0.501228	0.520606	0.507384	0.444366	0.475956	0.555440	0.555085	0.498876
tpru	0.523256	0.594961	0.582996	0.598826	0.535124	0.588000	0.608247	0.537477	0.600410	0.192149	0.595104	0.612371	0.493852	0.555985	0.567619	0.615385	0.547389	0.627451	0.583691	0.580078	0.557019
spd	0.114816	0.121961	0.114677	0.108292	0.092964	0.118578	0.092223	0.094134	0.104478	0.055024	0.094018	0.127567	0.110451	0.104993	0.109163	0.086544	0.077855	0.073462	0.134152	0.119202	0.102728
aod	0.008302	0.001448	0.013386	0.021107	0.026500	0.006279	0.041445	0.015931	0.025327	0.023209	0.041468	0.006410	0.011849	0.012522	0.007793	0.047967	0.045134	0.071337	0.006299	0.004090	0.021890
eod	0.016896	0.037773	0.058539	0.074483	0.074634	0.045585	0.097765	0.049040	0.076466	0.040458	0.106432	0.052412	0.004258	0.054757	0.047013	0.108001	0.103023	0.151495	0.028251	0.024993	0.062614
