accuracy	0.901388	0.899530	0.903356	0.899093	0.902044	0.899421	0.894064	0.903028	0.898874	0.898437	0.892970	0.902263	0.894720	0.904012	0.896031	0.891986	0.900623	0.898983	0.898109	0.900186	0.898956
recall	0.752573	0.747258	0.749972	0.739283	0.747163	0.749950	0.728815	0.776028	0.758459	0.741455	0.770123	0.723068	0.762624	0.734782	0.755168	0.770764	0.763061	0.755734	0.771063	0.754181	0.752576
precision	0.775864	0.777811	0.788193	0.782125	0.776008	0.771106	0.762055	0.782484	0.770884	0.782529	0.760165	0.786732	0.767429	0.781574	0.762499	0.756989	0.773204	0.768448	0.765871	0.775178	0.773357
f1score	0.763440	0.761178	0.767040	0.758029	0.760391	0.759872	0.743709	0.779198	0.764446	0.759530	0.764994	0.749067	0.764992	0.755060	0.758753	0.763587	0.767985	0.761854	0.768428	0.764043	0.761780
mcc	0.527923	0.524179	0.536806	0.519644	0.522375	0.520626	0.489744	0.558474	0.529197	0.522372	0.530195	0.505810	0.530032	0.514231	0.517615	0.527573	0.536169	0.524027	0.536909	0.528942	0.525142
srp	0.129496	0.192913	0.152893	0.150735	0.147170	0.138577	0.155039	0.221053	0.179775	0.150376	0.168459	0.113360	0.162791	0.162698	0.171103	0.191057	0.178439	0.165414	0.247423	0.156863	0.166782
sru	0.111625	0.109075	0.106682	0.105690	0.107070	0.112500	0.106536	0.120740	0.117117	0.107871	0.132837	0.093258	0.126111	0.096908	0.119316	0.134030	0.117481	0.115753	0.123306	0.113473	0.113869
fprp	0.044444	0.072917	0.068421	0.079070	0.073171	0.039801	0.078431	0.117647	0.084112	0.053659	0.073733	0.035897	0.051546	0.058511	0.068966	0.077320	0.075472	0.057143	0.122807	0.073171	0.070312
fpru	0.049576	0.047760	0.043752	0.044140	0.046815	0.051358	0.049429	0.051791	0.053186	0.045707	0.064450	0.038156	0.059111	0.041284	0.056780	0.066264	0.053111	0.053697	0.057962	0.050180	0.051225
tprp	0.490566	0.564516	0.461538	0.421053	0.400000	0.439394	0.444444	0.578125	0.566038	0.475410	0.500000	0.403846	0.500000	0.468750	0.516667	0.615385	0.561404	0.571429	0.698413	0.500000	0.508849
tpru	0.557710	0.541667	0.548155	0.528838	0.549812	0.557836	0.510909	0.607273	0.571168	0.531690	0.610811	0.488073	0.588968	0.513849	0.570240	0.607720	0.580794	0.564935	0.596279	0.561818	0.559427
spd	0.017872	0.083839	0.046211	0.045045	0.040099	0.026077	0.048503	0.100312	0.062658	0.042505	0.035622	0.020102	0.036680	0.065790	0.051787	0.057027	0.060957	0.049661	0.124116	0.043390	0.052913
aod	0.036138	0.024003	0.030973	0.036428	0.061728	0.064999	0.018731	0.018354	0.012898	0.024164	0.050764	0.043243	0.048266	0.013936	0.020694	0.009360	0.001485	0.004970	0.083489	0.019414	0.031202
eod	0.067144	0.022849	0.086616	0.107785	0.149812	0.118442	0.066465	0.029148	0.005130	0.056280	0.110811	0.084227	0.088968	0.045099	0.053574	0.007665	0.019391	0.006494	0.102134	0.061818	0.064493
