accuracy	0.900842	0.899530	0.898874	0.897453	0.900623	0.898655	0.903575	0.902482	0.900295	0.898109	0.898437	0.903247	0.893736	0.902810	0.895485	0.896578	0.898218	0.900842	0.897671	0.898437	0.899295
recall	0.694846	0.689038	0.690840	0.688369	0.681325	0.685810	0.698297	0.701964	0.689214	0.685915	0.687736	0.693226	0.687225	0.687558	0.682785	0.685149	0.687209	0.690176	0.682610	0.689524	0.688941
precision	0.789675	0.797122	0.792055	0.794202	0.790701	0.784548	0.806926	0.803157	0.794459	0.803591	0.794829	0.803924	0.779738	0.793220	0.773318	0.785421	0.782719	0.791112	0.781478	0.786176	0.791418
f1score	0.728975	0.725911	0.726199	0.724550	0.718129	0.720333	0.736069	0.738058	0.725520	0.724515	0.724237	0.731189	0.720021	0.724056	0.715011	0.719851	0.721007	0.725573	0.716936	0.723715	0.724493
mcc	0.475151	0.473993	0.472169	0.470824	0.459179	0.459878	0.493407	0.494881	0.472084	0.475150	0.470532	0.484669	0.457708	0.469024	0.447028	0.459763	0.460120	0.470584	0.453434	0.465777	0.469268
srp	0.136691	0.141732	0.123967	0.125000	0.132075	0.123596	0.112403	0.136842	0.116105	0.109023	0.111111	0.105263	0.116279	0.123016	0.140684	0.130081	0.137546	0.116541	0.154639	0.125490	0.125904
sru	0.077686	0.074778	0.077485	0.076845	0.070705	0.075676	0.076162	0.078650	0.075225	0.074316	0.076004	0.074270	0.081449	0.072288	0.077555	0.076845	0.076594	0.075667	0.073961	0.077710	0.075994
fprp	0.044444	0.031250	0.047368	0.041860	0.043902	0.034826	0.034314	0.054299	0.037383	0.034146	0.046083	0.025641	0.020619	0.026596	0.049261	0.041237	0.061321	0.033333	0.070175	0.048780	0.041342
fpru	0.030696	0.028373	0.029766	0.029169	0.027501	0.030738	0.026961	0.028343	0.028649	0.026469	0.028487	0.026889	0.034127	0.028160	0.033325	0.030821	0.030917	0.029604	0.029945	0.030929	0.029493
tprp	0.528302	0.483871	0.403846	0.438596	0.433333	0.393939	0.407407	0.421875	0.433962	0.360656	0.338710	0.403846	0.406250	0.406250	0.450000	0.461538	0.421053	0.428571	0.460317	0.440000	0.426116
tpru	0.415512	0.402174	0.412241	0.404614	0.388158	0.402985	0.424545	0.433636	0.406022	0.400528	0.408108	0.413761	0.408363	0.403056	0.396488	0.398564	0.405355	0.409091	0.392558	0.409091	0.406743
spd	0.059004	0.066954	0.046482	0.048155	0.061371	0.047920	0.036242	0.058192	0.040880	0.034707	0.035108	0.030993	0.034830	0.050728	0.063129	0.053236	0.060953	0.040874	0.080678	0.047780	0.049911
aod	0.063269	0.042287	0.004603	0.023337	0.030789	0.002479	0.004893	0.007097	0.018338	0.016097	0.025901	0.005581	0.007811	0.000815	0.034724	0.036696	0.023050	0.011605	0.053995	0.024380	0.021887
eod	0.112789	0.081697	0.008395	0.033982	0.045175	0.009046	0.017138	0.011761	0.027940	0.039872	0.069398	0.009915	0.002113	0.003194	0.053512	0.062975	0.015697	0.019481	0.067759	0.030909	0.036138
