accuracy	0.647218	0.686116	0.660724	0.656942	0.660724	0.659103	0.664506	0.669368	0.684495	0.672609	0.698541	0.673150	0.681253	0.676931	0.679092	0.656402	0.667747	0.676931	0.669908	0.672069	0.670692
recall	0.637523	0.676697	0.644774	0.643774	0.647813	0.648379	0.649936	0.651636	0.672239	0.661395	0.683052	0.660099	0.668874	0.661964	0.663762	0.643550	0.654243	0.664774	0.660643	0.660452	0.657779
precision	0.654262	0.700103	0.662238	0.662278	0.667788	0.662557	0.672319	0.663619	0.690265	0.671288	0.706491	0.678033	0.681573	0.676844	0.682799	0.662666	0.676112	0.677788	0.678052	0.680735	0.675391
f1score	0.632864	0.672756	0.643129	0.640487	0.644191	0.646313	0.646295	0.652743	0.671141	0.661794	0.682586	0.658450	0.669223	0.662164	0.662957	0.639834	0.650780	0.664738	0.657523	0.657321	0.655864
mcc	0.291304	0.376073	0.306515	0.305492	0.314969	0.310613	0.321476	0.315026	0.362056	0.332535	0.388837	0.337657	0.350217	0.338481	0.346038	0.305619	0.329630	0.342315	0.338248	0.340583	0.332684
srp	0.757746	0.771429	0.797814	0.807365	0.774566	0.777143	0.817175	0.796143	0.830508	0.721622	0.823699	0.789189	0.807471	0.775000	0.821522	0.793696	0.781711	0.752137	0.811966	0.828829	0.791837
sru	0.645722	0.650233	0.639731	0.641522	0.653821	0.622918	0.652349	0.614919	0.618570	0.606347	0.640532	0.632681	0.602129	0.625084	0.628571	0.647803	0.657407	0.617333	0.623333	0.636364	0.632868
fprp	0.650794	0.567797	0.669291	0.686441	0.582609	0.650407	0.669421	0.663934	0.710526	0.547619	0.650000	0.640000	0.652542	0.608000	0.692308	0.720000	0.590551	0.615385	0.650407	0.685950	0.645199
fpru	0.499327	0.473475	0.482955	0.490437	0.506775	0.465847	0.497245	0.444609	0.435198	0.435028	0.443978	0.463889	0.422378	0.450644	0.450142	0.486264	0.500000	0.437500	0.461745	0.468114	0.465777
tprp	0.816594	0.875000	0.866109	0.868085	0.870130	0.845815	0.891667	0.863071	0.887500	0.811475	0.915929	0.865306	0.886957	0.863830	0.888446	0.834821	0.896226	0.820513	0.899123	0.910377	0.868849
tpru	0.790173	0.828648	0.781050	0.785901	0.795306	0.772432	0.799738	0.757090	0.794503	0.763260	0.817952	0.792378	0.765228	0.779040	0.791667	0.799742	0.802030	0.783333	0.782781	0.795134	0.788869
spd	0.112025	0.121195	0.158084	0.165843	0.120746	0.154225	0.164826	0.181224	0.211938	0.115275	0.183168	0.156509	0.205342	0.149916	0.192951	0.145893	0.124304	0.134803	0.188632	0.192465	0.158968
aod	0.088944	0.070337	0.135698	0.139094	0.075329	0.128971	0.132052	0.162653	0.184163	0.080403	0.152000	0.124519	0.175946	0.121073	0.169472	0.134408	0.092374	0.107532	0.152501	0.166540	0.129700
eod	0.026421	0.046352	0.085059	0.082184	0.074823	0.073383	0.091928	0.105981	0.092997	0.048215	0.097977	0.072928	0.121728	0.084789	0.096780	0.035080	0.094196	0.037179	0.116341	0.115243	0.079979
