accuracy	0.864814	0.865866	0.862287	0.858497	0.861445	0.864393	0.864814	0.856601	0.863761	0.860181	0.863129	0.861445	0.866077	0.854285	0.870920	0.864182	0.861655	0.868604	0.861655	0.856812	0.862571
recall	0.657121	0.665818	0.662493	0.650660	0.659122	0.659204	0.662890	0.648279	0.668812	0.656691	0.661133	0.661042	0.675181	0.644051	0.672225	0.653095	0.669471	0.666364	0.653966	0.662166	0.660489
precision	0.786231	0.800382	0.781522	0.787872	0.773274	0.787454	0.777561	0.770488	0.807804	0.773886	0.779099	0.788601	0.795845	0.771305	0.794484	0.796199	0.796629	0.793780	0.768993	0.767918	0.784966
f1score	0.691615	0.701916	0.695858	0.684442	0.691446	0.693735	0.695980	0.679992	0.705370	0.689065	0.694346	0.695255	0.710185	0.675503	0.707855	0.688603	0.704360	0.701976	0.685990	0.693002	0.694325
mcc	0.424135	0.446357	0.427763	0.416513	0.417056	0.427850	0.425262	0.400538	0.455899	0.414322	0.424132	0.431170	0.455308	0.395382	0.450411	0.425895	0.448419	0.442151	0.407017	0.416880	0.427623
srp	0.121302	0.129695	0.127709	0.125797	0.136884	0.133062	0.125000	0.127469	0.140803	0.130738	0.136014	0.135967	0.135476	0.127570	0.131062	0.122363	0.138788	0.126157	0.121851	0.135860	0.130478
sru	0.062439	0.061741	0.068376	0.057540	0.061938	0.057464	0.068966	0.062378	0.059740	0.064399	0.062459	0.060436	0.069172	0.059774	0.063639	0.055987	0.067441	0.062893	0.066732	0.073500	0.063351
fprp	0.039002	0.039432	0.047768	0.043341	0.056349	0.044857	0.046948	0.049521	0.038462	0.044118	0.047059	0.049883	0.042373	0.053746	0.046828	0.040833	0.044861	0.042049	0.048099	0.056206	0.046087
fpru	0.026936	0.024033	0.027799	0.023028	0.025582	0.024482	0.029434	0.027229	0.023143	0.030932	0.028411	0.023097	0.028148	0.023765	0.023837	0.020795	0.025785	0.024896	0.029544	0.031770	0.026132
tprp	0.379902	0.392202	0.365116	0.355263	0.395181	0.399533	0.359155	0.360382	0.420582	0.391608	0.408654	0.388128	0.407658	0.340376	0.404412	0.370732	0.410377	0.388095	0.349282	0.370968	0.382880
tpru	0.308290	0.324607	0.352632	0.301333	0.309896	0.292225	0.362881	0.299748	0.304239	0.299735	0.300261	0.315245	0.354497	0.300995	0.344920	0.294710	0.330969	0.335135	0.336957	0.356410	0.321284
spd	0.058863	0.067954	0.059333	0.068257	0.074946	0.075599	0.056034	0.065090	0.081063	0.066339	0.073555	0.075532	0.066305	0.067796	0.067423	0.066376	0.071347	0.063264	0.055119	0.062360	0.067128
aod	0.041839	0.041497	0.016227	0.037122	0.058026	0.063841	0.006894	0.041463	0.065830	0.052530	0.063520	0.049834	0.033693	0.034681	0.041242	0.048030	0.049242	0.035056	0.015441	0.019497	0.040775
eod	0.071612	0.067595	0.012485	0.053930	0.085285	0.107308	0.003726	0.060634	0.116342	0.091874	0.108393	0.072882	0.053160	0.039381	0.059492	0.076021	0.079408	0.052960	0.012326	0.014557	0.061968
