accuracy	0.770000	0.756667	0.740000	0.770000	0.750000	0.753333	0.716667	0.810000	0.786667	0.786667	0.750000	0.733333	0.730000	0.760000	0.756667	0.780000	0.773333	0.770000	0.766667	0.773333	0.761667
recall	0.678820	0.627744	0.639379	0.672367	0.651084	0.624860	0.622123	0.708706	0.695238	0.663012	0.653776	0.633865	0.626137	0.641904	0.658395	0.665552	0.666806	0.673495	0.674020	0.678249	0.657777
precision	0.720414	0.712741	0.733244	0.718750	0.738000	0.684524	0.704861	0.782972	0.762895	0.749401	0.734801	0.712000	0.709991	0.683859	0.744271	0.792359	0.763889	0.746382	0.756549	0.723438	0.733767
f1score	0.691960	0.639560	0.646974	0.686245	0.662117	0.636661	0.623888	0.730416	0.712987	0.682203	0.665174	0.641234	0.631679	0.654090	0.671127	0.682916	0.683230	0.689147	0.688889	0.692233	0.670636
mcc	0.397061	0.329705	0.360606	0.388357	0.379252	0.303576	0.316343	0.486037	0.453110	0.403263	0.380036	0.336924	0.325500	0.323050	0.393402	0.440002	0.419611	0.413502	0.422585	0.399137	0.383553
srp	0.813278	0.880658	0.845850	0.807377	0.845188	0.862903	0.852000	0.837302	0.831933	0.863636	0.832653	0.855932	0.870293	0.840164	0.834677	0.858268	0.860558	0.818548	0.823045	0.818898	0.842658
sru	0.694915	0.754386	0.829787	0.767857	0.786885	0.730769	0.780000	0.729167	0.709677	0.775862	0.800000	0.750000	0.737705	0.714286	0.807692	0.869565	0.734694	0.807692	0.807018	0.673913	0.763094
fprp	0.534483	0.709677	0.658228	0.560606	0.582090	0.711864	0.693333	0.516667	0.579710	0.637931	0.611111	0.671233	0.710145	0.637931	0.636364	0.616438	0.625000	0.594595	0.565217	0.546875	0.619975
fpru	0.535714	0.583333	0.650000	0.526316	0.733333	0.521739	0.642857	0.521739	0.380952	0.541667	0.640000	0.600000	0.586207	0.523810	0.526316	0.684211	0.571429	0.500000	0.629630	0.523810	0.571153
tprp	0.901639	0.939227	0.931034	0.898876	0.947674	0.910053	0.920000	0.937500	0.934911	0.934783	0.924855	0.938650	0.935294	0.903226	0.923977	0.955801	0.941176	0.913793	0.925287	0.910526	0.926414
tpru	0.838710	0.878788	0.962963	0.891892	0.838710	0.896552	0.954545	0.920000	0.878049	0.941176	0.933333	0.846154	0.875000	0.828571	0.969697	1.000000	0.952381	0.970588	0.966667	0.800000	0.907189
spd	0.118363	0.126272	0.016063	0.039520	0.058303	0.132134	0.072000	0.108135	0.122255	0.087774	0.032653	0.105932	0.132588	0.125878	0.026985	0.011298	0.125864	0.010856	0.016028	0.144985	0.080694
aod	0.030849	0.093391	0.011850	0.020637	0.021140	0.101813	0.007965	0.006214	0.127810	0.044935	0.018683	0.081865	0.092116	0.094388	0.032164	0.055986	0.021183	0.018900	0.052896	0.066796	0.050079
eod	0.062930	0.060439	0.031928	0.006985	0.108965	0.013501	0.034545	0.017500	0.056862	0.006394	0.008478	0.092496	0.060294	0.074654	0.045720	0.044199	0.011204	0.056795	0.041379	0.110526	0.047290
