accuracy	0.835115	0.841454	0.834820	0.842264	0.840938	0.844623	0.843812	0.839316	0.842043	0.838137	0.840790	0.840938	0.841232	0.837473	0.840864	0.843812	0.844697	0.841896	0.844992	0.844254	0.841173
recall	0.717519	0.726221	0.716547	0.727401	0.723916	0.728054	0.727351	0.719813	0.725798	0.714947	0.721701	0.724674	0.724468	0.719362	0.722042	0.724634	0.727609	0.720558	0.728646	0.728733	0.723500
precision	0.813771	0.819429	0.815488	0.819789	0.816403	0.823936	0.822698	0.822544	0.816204	0.814658	0.825381	0.820823	0.823546	0.812731	0.820612	0.826239	0.825537	0.825293	0.824780	0.822339	0.820610
f1score	0.745796	0.754907	0.745135	0.756062	0.752462	0.757598	0.756702	0.749595	0.754149	0.744218	0.751824	0.753743	0.753998	0.747590	0.751494	0.754945	0.757479	0.751036	0.758273	0.757856	0.752743
mcc	0.522499	0.537631	0.522754	0.539335	0.532345	0.543599	0.541721	0.532538	0.534408	0.520133	0.537168	0.536957	0.538983	0.523837	0.533626	0.541421	0.544409	0.535709	0.545013	0.543063	0.535357
srp	0.185986	0.187370	0.185646	0.189375	0.188231	0.189216	0.184921	0.178158	0.187703	0.181281	0.182802	0.188470	0.185238	0.184279	0.183975	0.179730	0.185165	0.175362	0.188152	0.188529	0.184979
sru	0.088950	0.094692	0.084546	0.090909	0.086425	0.083838	0.090508	0.095513	0.091139	0.081227	0.086069	0.085170	0.088737	0.093941	0.086897	0.090162	0.088514	0.091655	0.084039	0.088717	0.088583
fprp	0.054956	0.052699	0.053702	0.054816	0.056219	0.052035	0.051751	0.047013	0.056095	0.054063	0.049111	0.054050	0.047117	0.056427	0.053099	0.046673	0.050826	0.045799	0.051874	0.053636	0.052098
fpru	0.028601	0.031298	0.027119	0.028028	0.027237	0.026761	0.027720	0.030341	0.029297	0.025583	0.024642	0.025316	0.032506	0.029056	0.024653	0.028653	0.025746	0.028122	0.025891	0.026777	0.027667
tprp	0.469577	0.482336	0.467731	0.486865	0.482168	0.491728	0.482530	0.463560	0.483451	0.462403	0.471244	0.480703	0.482308	0.467204	0.474815	0.476442	0.483928	0.463320	0.487661	0.490466	0.477522
tpru	0.538760	0.577519	0.530364	0.569472	0.557851	0.536000	0.585567	0.566728	0.579918	0.535124	0.546139	0.562887	0.538934	0.581081	0.548571	0.560158	0.564797	0.574510	0.570815	0.558594	0.559189
spd	0.097036	0.092678	0.101100	0.098466	0.101806	0.105378	0.094413	0.082645	0.096564	0.100053	0.096732	0.103300	0.096500	0.090338	0.097077	0.089568	0.096651	0.083707	0.104113	0.099812	0.096397
aod	0.021414	0.036891	0.018025	0.027909	0.023351	0.009499	0.039503	0.043248	0.034835	0.022120	0.025213	0.026725	0.021007	0.043253	0.022655	0.032848	0.027894	0.046756	0.028586	0.020634	0.028618
eod	0.069183	0.095183	0.062633	0.082606	0.075683	0.044272	0.103037	0.103168	0.096467	0.072721	0.074895	0.082184	0.056626	0.113877	0.073756	0.083716	0.080869	0.111189	0.083155	0.068128	0.081667
