accuracy	0.900732	0.900295	0.899858	0.898546	0.902810	0.899093	0.902919	0.903138	0.900405	0.900077	0.898437	0.903247	0.892861	0.904012	0.895485	0.897015	0.900405	0.902810	0.898437	0.898765	0.899967
recall	0.703094	0.698630	0.697648	0.701220	0.693282	0.693975	0.704224	0.712614	0.695239	0.695917	0.696106	0.698106	0.694242	0.701041	0.685413	0.694188	0.700119	0.701140	0.694355	0.695668	0.697811
precision	0.785864	0.795661	0.793193	0.792737	0.795164	0.783134	0.800575	0.800628	0.792003	0.806886	0.790694	0.801163	0.773804	0.792484	0.772455	0.783503	0.786921	0.794879	0.780254	0.785040	0.790352
f1score	0.734348	0.733425	0.732007	0.734620	0.729184	0.726534	0.739233	0.745716	0.729835	0.733824	0.730077	0.734538	0.723958	0.734733	0.716890	0.726676	0.732354	0.735361	0.726045	0.728327	0.731384
mcc	0.481901	0.484674	0.481452	0.485406	0.477702	0.468705	0.495519	0.505638	0.477537	0.490405	0.477522	0.488516	0.461234	0.484980	0.449518	0.469267	0.479242	0.487081	0.466771	0.472327	0.479270
srp	0.140288	0.161417	0.132231	0.139706	0.135849	0.138577	0.127907	0.157895	0.119850	0.120301	0.118280	0.117409	0.135659	0.130952	0.144487	0.142276	0.156134	0.127820	0.161512	0.125490	0.136702
sru	0.082647	0.079051	0.080067	0.082930	0.074645	0.079505	0.080211	0.083615	0.078604	0.077581	0.080965	0.076854	0.086511	0.078246	0.079018	0.081452	0.080761	0.079158	0.079720	0.080972	0.080126
fprp	0.057778	0.046875	0.047368	0.051163	0.048780	0.049751	0.044118	0.072398	0.042056	0.039024	0.055300	0.030769	0.036082	0.037234	0.054187	0.046392	0.066038	0.042857	0.087719	0.058537	0.050721
fpru	0.033265	0.030299	0.030793	0.032008	0.028396	0.032531	0.029657	0.030662	0.030447	0.027243	0.031194	0.028425	0.037476	0.030708	0.034094	0.033261	0.032200	0.030373	0.032387	0.032341	0.031388
tprp	0.490566	0.516129	0.442308	0.473684	0.433333	0.409091	0.444444	0.453125	0.433962	0.393443	0.338710	0.442308	0.437500	0.406250	0.450000	0.500000	0.491228	0.446429	0.428571	0.400000	0.441554
tpru	0.437673	0.423007	0.425743	0.433008	0.414474	0.421642	0.438182	0.457273	0.420620	0.420775	0.428829	0.423853	0.425267	0.434575	0.402957	0.418312	0.430286	0.432282	0.422326	0.425455	0.426827
spd	0.057640	0.082366	0.052164	0.056776	0.061204	0.059072	0.047695	0.074279	0.041247	0.042719	0.037314	0.040555	0.049147	0.052706	0.065468	0.060825	0.075372	0.048662	0.081792	0.044519	0.056576
aod	0.038703	0.054849	0.016570	0.029915	0.019622	0.002335	0.010362	0.018794	0.012475	0.007776	0.033007	0.010399	0.005420	0.010900	0.033568	0.047409	0.047390	0.013315	0.030789	0.000371	0.022198
eod	0.052893	0.093122	0.016565	0.040676	0.018860	0.012551	0.006263	0.004148	0.013342	0.027332	0.090119	0.018454	0.012233	0.028325	0.047043	0.081688	0.060942	0.014147	0.006246	0.025455	0.033520
