accuracy	0.750000	0.733333	0.740000	0.686667	0.720000	0.756667	0.736667	0.783333	0.763333	0.746667	0.750000	0.673333	0.703333	0.733333	0.720000	0.740000	0.753333	0.720000	0.773333	0.766667	0.737500
recall	0.685666	0.694849	0.680386	0.660465	0.688132	0.703233	0.672096	0.712592	0.742063	0.684941	0.686075	0.500000	0.653617	0.660404	0.617647	0.636706	0.676630	0.646530	0.725797	0.666484	0.669716
precision	0.692626	0.681148	0.705596	0.639783	0.682569	0.696050	0.712719	0.728952	0.723443	0.682209	0.715226	0.336667	0.659893	0.657872	0.678660	0.696929	0.709938	0.664709	0.740274	0.713974	0.675962
f1score	0.688844	0.686455	0.688482	0.643867	0.685000	0.699337	0.681345	0.719630	0.730294	0.683527	0.695415	0.402390	0.656278	0.659091	0.623296	0.646974	0.687130	0.652778	0.731847	0.680190	0.667108
mcc	0.378229	0.375747	0.385158	0.299535	0.370659	0.399219	0.382665	0.441242	0.465134	0.367140	0.400240	0.000000	0.313447	0.318267	0.289957	0.328154	0.385131	0.310707	0.465846	0.377483	0.352698
srp	0.763485	0.691358	0.739130	0.614754	0.661088	0.737903	0.776000	0.765873	0.672269	0.743802	0.751020	1.000000	0.728033	0.758197	0.834677	0.814961	0.792829	0.750000	0.753086	0.822835	0.758565
sru	0.593220	0.596491	0.723404	0.696429	0.639344	0.576923	0.680000	0.687500	0.564516	0.620690	0.727273	1.000000	0.573770	0.607143	0.788462	0.847826	0.632653	0.730769	0.543860	0.695652	0.676296
fprp	0.482759	0.403226	0.493671	0.393939	0.373134	0.423729	0.520000	0.433333	0.318841	0.482759	0.486111	1.000000	0.507246	0.517241	0.662338	0.589041	0.546875	0.540541	0.420290	0.546875	0.507097
fpru	0.428571	0.375000	0.500000	0.421053	0.466667	0.391304	0.571429	0.478261	0.285714	0.375000	0.520000	1.000000	0.448276	0.428571	0.684211	0.789474	0.464286	0.555556	0.370370	0.619048	0.508639
tprp	0.852459	0.790055	0.850575	0.696629	0.773256	0.835979	0.885714	0.869792	0.816568	0.826087	0.861272	1.000000	0.817647	0.833333	0.912281	0.906077	0.877005	0.839080	0.885057	0.915789	0.852233
tpru	0.741935	0.757576	0.888889	0.837838	0.806452	0.724138	0.818182	0.880000	0.707317	0.794118	0.900000	1.000000	0.687500	0.714286	0.848485	0.888889	0.857143	0.823529	0.700000	0.760000	0.806814
spd	0.170265	0.094867	0.015726	0.081674	0.021744	0.160980	0.096000	0.078373	0.107753	0.123112	0.023748	0.000000	0.154263	0.151054	0.046216	0.032865	0.160176	0.019231	0.209227	0.127182	0.093723
aod	0.082355	0.030353	0.022322	0.084161	0.063364	0.072133	0.008052	0.027568	0.071189	0.069864	0.036309	0.000000	0.094559	0.103859	0.020961	0.091622	0.051226	0.000268	0.117488	0.041808	0.054473
eod	0.110524	0.032479	0.038314	0.141209	0.033196	0.111841	0.067532	0.010208	0.109251	0.031969	0.038728	0.000000	0.130147	0.119048	0.063796	0.017188	0.019862	0.015551	0.185057	0.155789	0.071585
