accuracy	0.900405	0.898983	0.898983	0.896687	0.900842	0.898765	0.901826	0.901279	0.899858	0.897999	0.898655	0.902700	0.893408	0.901826	0.895048	0.896141	0.899093	0.899311	0.898218	0.898327	0.898918
recall	0.689308	0.683964	0.685393	0.682897	0.678389	0.683234	0.688770	0.693937	0.683374	0.680530	0.684222	0.686908	0.683098	0.681957	0.677656	0.676843	0.685452	0.682110	0.678775	0.683878	0.683535
precision	0.790223	0.797338	0.795398	0.793555	0.793353	0.786194	0.804065	0.802007	0.795486	0.806698	0.797854	0.805040	0.780010	0.791239	0.773235	0.787384	0.787419	0.787801	0.785710	0.788259	0.792413
f1score	0.724629	0.721641	0.722441	0.719752	0.716197	0.718599	0.727373	0.731193	0.720823	0.720407	0.721940	0.726069	0.716712	0.718871	0.710795	0.713256	0.720732	0.718060	0.714718	0.719563	0.720189
mcc	0.468792	0.467759	0.468038	0.463423	0.457520	0.457998	0.479159	0.484026	0.465552	0.470609	0.468492	0.477553	0.452855	0.460403	0.440644	0.450874	0.461746	0.457871	0.452008	0.460454	0.463289
srp	0.161871	0.177165	0.157025	0.150735	0.150943	0.161049	0.143411	0.178947	0.153558	0.139098	0.143369	0.137652	0.147287	0.150794	0.159696	0.138211	0.174721	0.139098	0.189003	0.141176	0.154740
sru	0.074191	0.071404	0.073105	0.073690	0.068115	0.072860	0.071887	0.074024	0.071171	0.070150	0.072508	0.070337	0.078412	0.069590	0.074516	0.072127	0.073215	0.072289	0.069783	0.073999	0.072369
fprp	0.071111	0.057292	0.063158	0.060465	0.058537	0.054726	0.053922	0.090498	0.070093	0.039024	0.059908	0.046154	0.036082	0.042553	0.059113	0.041237	0.070755	0.057143	0.096491	0.058537	0.059340
fpru	0.028641	0.026704	0.027329	0.027749	0.025838	0.029201	0.025549	0.026153	0.026336	0.024532	0.026553	0.024968	0.032711	0.027268	0.031915	0.028509	0.028865	0.028322	0.027117	0.028876	0.027657
tprp	0.547170	0.548387	0.500000	0.491228	0.466667	0.484848	0.481481	0.484375	0.490566	0.475410	0.435484	0.480769	0.484375	0.468750	0.500000	0.500000	0.561404	0.446429	0.523810	0.480000	0.492558
tpru	0.401662	0.386775	0.394239	0.389530	0.378759	0.390858	0.400000	0.411818	0.389599	0.381162	0.393694	0.395413	0.394128	0.386819	0.381701	0.377020	0.392428	0.390538	0.378605	0.393636	0.390419
spd	0.087680	0.105761	0.083920	0.077045	0.082828	0.088188	0.071524	0.104923	0.082387	0.068948	0.070861	0.067315	0.068875	0.081204	0.085180	0.066085	0.101507	0.066809	0.119220	0.067177	0.082372
aod	0.093989	0.096100	0.070795	0.067207	0.060303	0.059758	0.054927	0.068451	0.072362	0.054370	0.037572	0.053271	0.046809	0.048608	0.072749	0.067854	0.105433	0.042355	0.107289	0.058012	0.066911
eod	0.145508	0.161612	0.105761	0.101698	0.087907	0.093990	0.081481	0.072557	0.100967	0.094248	0.041790	0.085356	0.090247	0.081931	0.118299	0.122980	0.168975	0.055891	0.145205	0.086364	0.102138
