accuracy	0.868814	0.867972	0.863129	0.858918	0.861445	0.864603	0.866919	0.857444	0.865024	0.859971	0.862287	0.863129	0.866709	0.858075	0.871341	0.865235	0.860813	0.869657	0.865024	0.859339	0.863792
recall	0.679151	0.680643	0.673298	0.659922	0.673099	0.668785	0.674844	0.660928	0.683425	0.669890	0.673106	0.674985	0.686144	0.664923	0.683257	0.664569	0.681437	0.680674	0.673834	0.682392	0.674465
precision	0.787948	0.797306	0.778097	0.782138	0.766115	0.781523	0.779040	0.766441	0.800007	0.765951	0.769109	0.785463	0.790551	0.773517	0.788708	0.791073	0.784263	0.788093	0.771818	0.767343	0.780725
f1score	0.712838	0.715616	0.705379	0.693049	0.702935	0.701998	0.707296	0.691708	0.718185	0.699972	0.703566	0.708085	0.719202	0.696511	0.716829	0.699468	0.713382	0.714294	0.704942	0.710886	0.706807
mcc	0.454252	0.463493	0.439062	0.424830	0.429252	0.435966	0.441762	0.414139	0.469164	0.425124	0.431669	0.446997	0.465121	0.424779	0.460034	0.437729	0.454206	0.456293	0.434746	0.441639	0.442513
srp	0.138462	0.143779	0.135911	0.133913	0.150057	0.147008	0.137911	0.141831	0.158179	0.147008	0.150798	0.149332	0.148106	0.148126	0.142610	0.135624	0.154545	0.140625	0.144112	0.159184	0.145356
sru	0.072246	0.068966	0.076266	0.064815	0.072927	0.061757	0.072250	0.069526	0.067857	0.073316	0.071942	0.068032	0.075491	0.068174	0.070268	0.061489	0.077767	0.070837	0.071992	0.082070	0.070899
fprp	0.046022	0.047319	0.052467	0.048857	0.065364	0.052591	0.052426	0.058307	0.049100	0.054180	0.058824	0.057677	0.047766	0.059446	0.052115	0.049640	0.056281	0.050459	0.057409	0.065574	0.054091
fpru	0.031051	0.027037	0.031931	0.026803	0.031691	0.027495	0.030924	0.030959	0.027249	0.036590	0.033645	0.026505	0.032712	0.028964	0.028377	0.023023	0.032138	0.029046	0.032162	0.037443	0.030287
tprp	0.428922	0.424312	0.383721	0.370614	0.421687	0.432243	0.394366	0.391408	0.456376	0.426573	0.432692	0.417808	0.441441	0.403756	0.436275	0.397561	0.438679	0.421429	0.411483	0.435484	0.418342
tpru	0.357513	0.361257	0.386842	0.333333	0.354167	0.305630	0.379501	0.329975	0.339152	0.331565	0.339426	0.351421	0.373016	0.330846	0.366310	0.322418	0.366430	0.370270	0.361413	0.384615	0.352255
spd	0.066216	0.074814	0.059645	0.069098	0.077130	0.085251	0.065661	0.072306	0.090321	0.073692	0.078856	0.081300	0.072615	0.079951	0.072341	0.074135	0.076778	0.069788	0.072120	0.077114	0.074457
aod	0.043190	0.041668	0.008707	0.029668	0.050596	0.075854	0.018183	0.044391	0.069537	0.056299	0.059223	0.048780	0.041740	0.051696	0.046851	0.050880	0.048196	0.036286	0.037659	0.039499	0.044945
eod	0.071409	0.063055	0.003121	0.037281	0.067520	0.126613	0.014865	0.061433	0.117224	0.095008	0.093267	0.066387	0.068426	0.072910	0.069964	0.075143	0.072249	0.051158	0.050070	0.050868	0.066399
