accuracy	0.838800	0.846908	0.840422	0.844697	0.847350	0.850814	0.848677	0.846834	0.846539	0.847498	0.846245	0.845950	0.848235	0.843296	0.847424	0.849267	0.850151	0.849340	0.850372	0.848677	0.846875
recall	0.750827	0.763641	0.753539	0.758280	0.763989	0.763700	0.761422	0.757897	0.759706	0.755189	0.757249	0.758649	0.762239	0.754243	0.759181	0.757634	0.763764	0.760660	0.764931	0.759939	0.759334
precision	0.797948	0.805861	0.801166	0.803016	0.804458	0.812400	0.809100	0.810980	0.803647	0.808632	0.809868	0.807301	0.811506	0.802196	0.808732	0.813192	0.811310	0.812076	0.810784	0.809738	0.807695
f1score	0.769100	0.780713	0.772003	0.776086	0.780530	0.782930	0.780267	0.778200	0.777349	0.775695	0.777399	0.777657	0.781495	0.772968	0.778527	0.778785	0.782615	0.780627	0.783271	0.779422	0.778282
mcc	0.546748	0.567935	0.552656	0.559511	0.567005	0.574038	0.568526	0.566395	0.561636	0.561282	0.564671	0.563855	0.571626	0.554368	0.565746	0.568115	0.573105	0.570423	0.573886	0.567497	0.564951
srp	0.208287	0.210845	0.209314	0.208042	0.211719	0.204302	0.205091	0.202124	0.206111	0.197625	0.202641	0.206213	0.205295	0.205575	0.203669	0.196283	0.205913	0.201486	0.207079	0.203110	0.205036
sru	0.133297	0.144857	0.135303	0.137075	0.139584	0.134352	0.133871	0.136965	0.142251	0.135802	0.133005	0.130985	0.144515	0.131096	0.136770	0.140741	0.133896	0.137708	0.134093	0.133299	0.136473
fprp	0.075061	0.074035	0.073517	0.074344	0.075299	0.067331	0.068930	0.066278	0.072773	0.065094	0.068295	0.069824	0.067467	0.073055	0.068829	0.063158	0.069050	0.066505	0.069781	0.068469	0.069855
fpru	0.051646	0.051890	0.053284	0.047036	0.051746	0.050094	0.051956	0.049968	0.053729	0.055080	0.041885	0.051166	0.054224	0.045970	0.049313	0.050923	0.047441	0.048015	0.048906	0.046700	0.050049
tprp	0.573342	0.594349	0.579571	0.585318	0.594595	0.593092	0.592252	0.579424	0.587574	0.575166	0.576911	0.584457	0.588216	0.579672	0.582055	0.575858	0.592204	0.582626	0.596727	0.587028	0.585022
tpru	0.570934	0.635135	0.555556	0.601329	0.655678	0.581395	0.558140	0.580645	0.605960	0.561290	0.598662	0.582418	0.606452	0.554859	0.605351	0.583072	0.603390	0.609428	0.593750	0.565217	0.590433
spd	0.074990	0.065988	0.074011	0.070967	0.072135	0.069950	0.071220	0.065159	0.063861	0.061823	0.069636	0.075228	0.060780	0.074479	0.066899	0.055543	0.072017	0.063778	0.072986	0.069811	0.068563
aod	0.012911	0.009320	0.022124	0.005648	0.018765	0.014467	0.025543	0.007544	0.000329	0.011945	0.002329	0.010349	0.002497	0.025949	0.001890	0.002510	0.005212	0.004156	0.011926	0.021790	0.010860
eod	0.002408	0.040786	0.024015	0.016011	0.061083	0.011697	0.034113	0.001221	0.018386	0.013875	0.021752	0.002040	0.018235	0.024813	0.023296	0.007215	0.011185	0.026802	0.002977	0.021811	0.019186
