accuracy	0.786667	0.740000	0.746667	0.730000	0.693333	0.753333	0.730000	0.796667	0.763333	0.780000	0.726667	0.703333	0.686667	0.750000	0.716667	0.746667	0.746667	0.736667	0.750000	0.716667	0.740000
recall	0.697457	0.629972	0.672546	0.651573	0.646895	0.704744	0.669336	0.729249	0.637302	0.677445	0.636534	0.627349	0.654375	0.622917	0.664828	0.659699	0.696070	0.649457	0.692096	0.596033	0.660794
precision	0.746273	0.675059	0.719941	0.662711	0.648524	0.693651	0.701833	0.746891	0.754937	0.725990	0.689078	0.655053	0.648609	0.666408	0.671894	0.702331	0.701115	0.687234	0.712075	0.632114	0.692086
f1score	0.712987	0.640199	0.683527	0.656192	0.647672	0.698435	0.677543	0.736884	0.649435	0.692547	0.644837	0.633438	0.650921	0.633783	0.667861	0.670825	0.698413	0.659243	0.699483	0.602054	0.667814
mcc	0.441036	0.301680	0.389615	0.314087	0.295414	0.398240	0.369744	0.475813	0.374183	0.400504	0.321345	0.281039	0.302929	0.286037	0.336648	0.359511	0.397153	0.334564	0.403677	0.225276	0.350425
srp	0.834025	0.847737	0.798419	0.770492	0.690377	0.725806	0.764000	0.769841	0.882353	0.830579	0.812245	0.788136	0.665272	0.868852	0.721774	0.818898	0.733068	0.802419	0.748971	0.862205	0.786773
sru	0.627119	0.666667	0.659574	0.642857	0.655738	0.576923	0.660000	0.666667	0.822581	0.706897	0.763636	0.671875	0.573770	0.642857	0.615385	0.608696	0.571429	0.692308	0.649123	0.586957	0.653053
fprp	0.568966	0.677419	0.569620	0.560606	0.477612	0.389831	0.533333	0.416667	0.695652	0.568966	0.638889	0.630137	0.420290	0.706897	0.506494	0.602740	0.453125	0.608108	0.434783	0.734375	0.559725
fpru	0.392857	0.500000	0.450000	0.421053	0.500000	0.434783	0.500000	0.434783	0.619048	0.500000	0.560000	0.480000	0.482759	0.476190	0.368421	0.421053	0.392857	0.444444	0.555556	0.523810	0.472881
tprp	0.918033	0.906077	0.902299	0.848315	0.773256	0.830688	0.862857	0.880208	0.958580	0.913043	0.884393	0.858896	0.764706	0.919355	0.818713	0.906077	0.828877	0.885057	0.873563	0.905263	0.871913
tpru	0.838710	0.787879	0.814815	0.756757	0.806452	0.689655	0.863636	0.880000	0.926829	0.852941	0.933333	0.794872	0.656250	0.742857	0.757576	0.740741	0.809524	0.823529	0.733333	0.640000	0.792484
spd	0.206906	0.181070	0.138845	0.127635	0.034639	0.148883	0.104000	0.103175	0.059772	0.123682	0.048609	0.116261	0.091501	0.225995	0.106390	0.210202	0.161639	0.110112	0.099848	0.275248	0.133721
aod	0.127716	0.147809	0.103552	0.115556	0.027792	0.048040	0.016277	0.008954	0.054178	0.064534	0.014974	0.107080	0.022994	0.203602	0.099605	0.173512	0.039811	0.112596	0.009728	0.237914	0.086811
eod	0.079323	0.118199	0.087484	0.091558	0.033196	0.141033	0.000779	0.000208	0.031751	0.060102	0.048940	0.064024	0.108456	0.176498	0.061138	0.165337	0.019353	0.061528	0.140230	0.265263	0.087720
