accuracy	0.750000	0.726667	0.720000	0.723333	0.706667	0.730000	0.740000	0.793333	0.740000	0.753333	0.723333	0.703333	0.726667	0.753333	0.710000	0.723333	0.736667	0.700000	0.690000	0.766667	0.730833
recall	0.647414	0.627581	0.627016	0.650479	0.691737	0.646845	0.686216	0.734385	0.642857	0.636272	0.642146	0.635229	0.631542	0.641446	0.602022	0.642872	0.625209	0.610890	0.634191	0.655814	0.645608
precision	0.690801	0.655456	0.687570	0.656250	0.676335	0.655556	0.713005	0.741795	0.687500	0.683379	0.681235	0.655902	0.696025	0.673676	0.662452	0.668153	0.694813	0.634508	0.639944	0.717516	0.678593
f1score	0.658962	0.635556	0.633102	0.653083	0.680403	0.650616	0.694293	0.737866	0.653333	0.648200	0.650433	0.641008	0.638745	0.651797	0.604396	0.650433	0.633802	0.616477	0.636600	0.670619	0.651986
mcc	0.335420	0.281661	0.308703	0.306674	0.367750	0.302275	0.398321	0.476122	0.327327	0.316161	0.321010	0.290397	0.321157	0.313469	0.257478	0.309996	0.312361	0.244259	0.274074	0.368196	0.321641
srp	0.821429	0.759434	0.824645	0.760204	0.605911	0.762136	0.708920	0.720930	0.790816	0.865672	0.774869	0.720000	0.835897	0.822660	0.834146	0.741463	0.841121	0.770335	0.658654	0.831731	0.772549
sru	0.769231	0.852273	0.797753	0.682692	0.618557	0.723404	0.781609	0.776471	0.817308	0.727273	0.788991	0.790000	0.790476	0.762887	0.842105	0.810526	0.825581	0.780220	0.804348	0.804348	0.777303
fprp	0.574468	0.568966	0.661765	0.510204	0.292308	0.547170	0.409091	0.327273	0.596154	0.673469	0.549020	0.532258	0.672131	0.640000	0.683333	0.543860	0.666667	0.614035	0.368421	0.592593	0.551159
fpru	0.615385	0.678571	0.612903	0.527778	0.468750	0.517241	0.621622	0.535714	0.605263	0.545455	0.630435	0.611111	0.594595	0.517241	0.722222	0.600000	0.657143	0.628571	0.743590	0.612903	0.602325
tprp	0.899329	0.831169	0.902098	0.843537	0.753623	0.836601	0.843537	0.856250	0.861111	0.927632	0.857143	0.804348	0.910448	0.882353	0.896552	0.817568	0.904459	0.828947	0.768212	0.915584	0.857025
tpru	0.861538	0.933333	0.896552	0.764706	0.692308	0.815385	0.900000	0.894737	0.939394	0.818182	0.904762	0.890625	0.897059	0.867647	0.915254	0.933333	0.941176	0.875000	0.849057	0.901639	0.874584
spd	0.052198	0.092839	0.026892	0.077512	0.012645	0.038732	0.072689	0.055540	0.026491	0.138399	0.014122	0.070000	0.045421	0.059774	0.007959	0.069063	0.015540	0.009885	0.145694	0.027383	0.052939
aod	0.001563	0.105885	0.027204	0.030629	0.057563	0.025573	0.134497	0.123464	0.043696	0.118732	0.064517	0.082565	0.045463	0.068732	0.028796	0.085953	0.013597	0.030294	0.228007	0.003183	0.065996
eod	0.037790	0.102165	0.005546	0.078832	0.061315	0.021217	0.056463	0.038487	0.078283	0.109450	0.047619	0.086277	0.013389	0.014706	0.018703	0.115766	0.036718	0.046053	0.080845	0.013945	0.053178
