accuracy	0.733333	0.770000	0.733333	0.763333	0.703333	0.756667	0.740000	0.790000	0.763333	0.766667	0.756667	0.710000	0.733333	0.736667	0.730000	0.760000	0.756667	0.746667	0.753333	0.760000	0.748167
recall	0.667029	0.654477	0.654907	0.657045	0.621985	0.665194	0.653787	0.694881	0.669048	0.664466	0.658702	0.613912	0.641746	0.626067	0.641544	0.663253	0.663880	0.668792	0.680760	0.679617	0.657055
precision	0.671962	0.731157	0.701800	0.710041	0.652257	0.689161	0.738370	0.743750	0.724699	0.704167	0.750000	0.667347	0.705357	0.649160	0.690136	0.728630	0.720550	0.700621	0.719876	0.701888	0.705046
f1score	0.669312	0.670251	0.664354	0.670885	0.628004	0.674102	0.662162	0.710792	0.683031	0.677102	0.671127	0.618371	0.650574	0.633802	0.650616	0.677111	0.676986	0.678674	0.691855	0.688150	0.667363
mcc	0.338955	0.377934	0.353612	0.363241	0.272565	0.353544	0.382927	0.435900	0.389794	0.366489	0.398374	0.276136	0.341224	0.274256	0.328102	0.386391	0.380230	0.368039	0.398721	0.380855	0.358364
srp	0.742739	0.851852	0.786561	0.803279	0.765690	0.794355	0.832000	0.825397	0.815126	0.818182	0.840816	0.843220	0.853556	0.819672	0.798387	0.807087	0.816733	0.766129	0.790123	0.787402	0.807915
sru	0.661017	0.771930	0.765957	0.857143	0.803279	0.692308	0.780000	0.666667	0.758065	0.724138	0.800000	0.718750	0.655738	0.678571	0.788462	0.847826	0.734694	0.769231	0.666667	0.630435	0.738544
fprp	0.482759	0.612903	0.582278	0.545455	0.537313	0.525424	0.613333	0.516667	0.579710	0.568966	0.611111	0.684932	0.652174	0.655172	0.610390	0.547945	0.546875	0.513514	0.492754	0.500000	0.568984
fpru	0.500000	0.625000	0.550000	0.736842	0.766667	0.565217	0.642857	0.521739	0.523810	0.541667	0.640000	0.600000	0.551724	0.476190	0.578947	0.736842	0.642857	0.611111	0.592593	0.523810	0.596394
tprp	0.825137	0.933702	0.879310	0.898876	0.854651	0.878307	0.925714	0.921875	0.911243	0.896739	0.936416	0.914110	0.935294	0.870968	0.883041	0.911602	0.909091	0.873563	0.908046	0.884211	0.897595
tpru	0.806452	0.878788	0.925926	0.918919	0.838710	0.793103	0.954545	0.800000	0.878049	0.852941	0.933333	0.794872	0.750000	0.800000	0.909091	0.925926	0.857143	0.852941	0.733333	0.720000	0.846204
spd	0.081722	0.079922	0.020604	0.053864	0.037588	0.102047	0.052000	0.158730	0.057062	0.094044	0.040816	0.124470	0.197819	0.141101	0.009926	0.040739	0.082039	0.003102	0.123457	0.156967	0.082901
aod	0.000722	0.021409	0.007169	0.105715	0.106706	0.022705	0.029177	0.058401	0.044547	0.035548	0.012903	0.102085	0.142872	0.124975	0.002696	0.101610	0.022017	0.038488	0.037437	0.070201	0.054369
eod	0.018685	0.054914	0.046616	0.020043	0.015941	0.085203	0.028831	0.121875	0.033194	0.043798	0.003083	0.119239	0.185294	0.070968	0.026050	0.014324	0.051948	0.020622	0.174713	0.164211	0.064978
