accuracy	0.901716	0.899858	0.899421	0.899311	0.902482	0.901716	0.905105	0.902482	0.902810	0.898765	0.899311	0.906527	0.898546	0.905105	0.901279	0.899093	0.898546	0.901826	0.902591	0.902700	0.901459
recall	0.708944	0.700577	0.702172	0.702019	0.699980	0.708290	0.715485	0.709302	0.711148	0.695872	0.710073	0.708613	0.710757	0.703990	0.707116	0.696843	0.701314	0.707392	0.706527	0.710575	0.705849
precision	0.787686	0.792831	0.789328	0.795634	0.790596	0.788541	0.804557	0.799402	0.795261	0.800726	0.788510	0.810765	0.789935	0.796033	0.788444	0.791218	0.778977	0.788090	0.792859	0.795362	0.793238
f1score	0.739272	0.734220	0.734518	0.736028	0.733330	0.739033	0.749067	0.742831	0.743113	0.732299	0.740234	0.745482	0.741111	0.738007	0.738112	0.730832	0.730985	0.738243	0.738959	0.742706	0.738419
mcc	0.490348	0.484706	0.483711	0.488769	0.482134	0.490306	0.512357	0.500661	0.499375	0.485402	0.492374	0.509233	0.494392	0.491479	0.488841	0.478849	0.473970	0.488866	0.491868	0.498782	0.491321
srp	0.190647	0.196850	0.194215	0.143382	0.173585	0.187266	0.178295	0.192982	0.149813	0.191729	0.157706	0.170040	0.197674	0.166667	0.171103	0.162602	0.204461	0.169173	0.213058	0.168627	0.178994
sru	0.083211	0.079838	0.081752	0.082254	0.077910	0.082995	0.082574	0.081359	0.084009	0.077244	0.087167	0.077191	0.087186	0.077459	0.083296	0.079654	0.082564	0.082986	0.079607	0.083333	0.081679
fprp	0.084444	0.083333	0.094737	0.051163	0.082927	0.079602	0.078431	0.104072	0.056075	0.087805	0.073733	0.071795	0.082474	0.047872	0.064039	0.061856	0.103774	0.076190	0.100877	0.068293	0.077675
fpru	0.033136	0.030684	0.031819	0.031234	0.030187	0.033043	0.029657	0.029503	0.032246	0.027760	0.034416	0.026504	0.034385	0.029944	0.033325	0.030949	0.034124	0.032936	0.030459	0.031828	0.031407
tprp	0.641509	0.548387	0.557692	0.491228	0.483333	0.515152	0.555556	0.500000	0.528302	0.540984	0.451613	0.538462	0.546875	0.515625	0.533333	0.538462	0.578947	0.517857	0.619048	0.580000	0.539118
tpru	0.443213	0.426630	0.432043	0.433008	0.428571	0.446828	0.457273	0.447273	0.451642	0.414613	0.455856	0.440367	0.451957	0.433620	0.443623	0.420108	0.431210	0.445269	0.435349	0.448182	0.439332
spd	0.107436	0.117012	0.112463	0.061129	0.095675	0.104270	0.095721	0.111624	0.065804	0.114486	0.070539	0.092849	0.110488	0.089207	0.087807	0.082948	0.121897	0.086187	0.133451	0.085294	0.097314
aod	0.124802	0.087203	0.094283	0.039075	0.053751	0.057441	0.073528	0.063648	0.050244	0.093208	0.017537	0.071692	0.071503	0.049967	0.060213	0.074630	0.108693	0.057921	0.127059	0.084142	0.073027
eod	0.198296	0.121757	0.125649	0.058220	0.054762	0.068323	0.098283	0.052727	0.076660	0.126371	0.004243	0.098095	0.094918	0.082005	0.089710	0.118354	0.147738	0.072588	0.183699	0.131818	0.100211
