accuracy	0.790000	0.773333	0.736667	0.753333	0.730000	0.763333	0.720000	0.813333	0.786667	0.773333	0.746667	0.750000	0.736667	0.760000	0.750000	0.750000	0.756667	0.730000	0.746667	0.766667	0.756667
recall	0.703271	0.653336	0.636891	0.642955	0.625540	0.639349	0.624661	0.722170	0.682540	0.653838	0.640546	0.651495	0.644221	0.641904	0.647978	0.640886	0.648725	0.620401	0.656556	0.666484	0.652187
precision	0.750553	0.741527	0.725198	0.693878	0.704365	0.702537	0.712724	0.781419	0.776000	0.720000	0.741176	0.743841	0.711874	0.683859	0.735629	0.719205	0.731401	0.681432	0.718438	0.713974	0.724451
f1score	0.718746	0.669775	0.644096	0.655280	0.631679	0.653315	0.626667	0.741682	0.701863	0.669775	0.649425	0.662117	0.653463	0.654090	0.658962	0.652343	0.661614	0.628162	0.668045	0.680190	0.664064
mcc	0.451354	0.384889	0.351156	0.332961	0.320349	0.335996	0.325690	0.500091	0.448914	0.367936	0.368220	0.384400	0.349609	0.323050	0.373459	0.351471	0.371026	0.295598	0.369854	0.377483	0.369175
srp	0.804979	0.876543	0.845850	0.827869	0.841004	0.862903	0.852000	0.813492	0.852941	0.851240	0.857143	0.851695	0.841004	0.827869	0.846774	0.842520	0.848606	0.842742	0.806584	0.834646	0.841420
sru	0.728814	0.719298	0.808511	0.767857	0.836066	0.711538	0.800000	0.750000	0.758065	0.758621	0.818182	0.781250	0.721311	0.767857	0.788462	0.804348	0.775510	0.769231	0.807018	0.630435	0.765119
fprp	0.500000	0.661290	0.658228	0.621212	0.626866	0.677966	0.680000	0.466667	0.623188	0.637931	0.652778	0.643836	0.637681	0.620690	0.675325	0.643836	0.625000	0.702703	0.565217	0.593750	0.625708
fpru	0.500000	0.541667	0.650000	0.578947	0.766667	0.521739	0.678571	0.521739	0.428571	0.541667	0.680000	0.600000	0.586207	0.571429	0.473684	0.631579	0.642857	0.500000	0.666667	0.476190	0.577909
tprp	0.901639	0.950276	0.931034	0.904494	0.924419	0.920635	0.925714	0.921875	0.946746	0.918478	0.942197	0.944785	0.923529	0.892473	0.923977	0.922652	0.925134	0.902299	0.902299	0.915789	0.922022
tpru	0.935484	0.848485	0.925926	0.864865	0.903226	0.862069	0.954545	0.960000	0.926829	0.911765	0.933333	0.897436	0.843750	0.885714	0.969697	0.925926	0.952381	0.911765	0.933333	0.760000	0.905326
spd	0.076166	0.157245	0.037339	0.060012	0.004939	0.151365	0.052000	0.063492	0.094877	0.092619	0.038961	0.070445	0.119693	0.060012	0.058313	0.038172	0.073095	0.073511	0.000433	0.204211	0.076345
aod	0.016922	0.110708	0.006668	0.040947	0.059304	0.107396	0.013701	0.046599	0.107267	0.051489	0.009180	0.045592	0.065627	0.028010	0.077960	0.004491	0.022552	0.096618	0.066242	0.136674	0.055697
eod	0.033845	0.101791	0.005109	0.039630	0.021193	0.058566	0.028831	0.038125	0.019916	0.006714	0.008863	0.047349	0.079779	0.006759	0.045720	0.003274	0.027247	0.009466	0.031034	0.155789	0.038450
