accuracy	0.867130	0.868814	0.865866	0.859128	0.860181	0.865656	0.867130	0.858497	0.866709	0.860602	0.864814	0.863971	0.867340	0.861023	0.870710	0.865235	0.865235	0.868393	0.866498	0.858286	0.864561
recall	0.676630	0.686476	0.683775	0.666687	0.673837	0.674394	0.677007	0.667391	0.685373	0.671258	0.678619	0.679324	0.687969	0.669090	0.684419	0.668511	0.693834	0.681943	0.677777	0.678878	0.678160
precision	0.782785	0.796471	0.782497	0.778322	0.761480	0.782271	0.778666	0.767119	0.805493	0.767591	0.775618	0.785951	0.791801	0.782646	0.785551	0.788044	0.792795	0.782414	0.775347	0.765318	0.781409
f1score	0.709545	0.720759	0.715597	0.698961	0.702576	0.707315	0.709151	0.697809	0.720994	0.701522	0.709775	0.712139	0.721071	0.702032	0.717179	0.702778	0.726055	0.714242	0.709150	0.707450	0.710305
mcc	0.446982	0.470254	0.455701	0.430779	0.426404	0.443740	0.444188	0.422910	0.475942	0.428145	0.443760	0.452892	0.468399	0.437231	0.458959	0.440630	0.476460	0.453357	0.442494	0.435705	0.447747
srp	0.150888	0.154930	0.154071	0.151884	0.160367	0.155723	0.144366	0.154399	0.161174	0.149332	0.161443	0.162115	0.156716	0.152963	0.154157	0.145268	0.172121	0.154514	0.151728	0.163848	0.155600
sru	0.066035	0.068637	0.073636	0.063492	0.070929	0.061757	0.070936	0.068876	0.064935	0.072325	0.067364	0.064729	0.071500	0.064297	0.066622	0.061489	0.075186	0.067527	0.069362	0.077126	0.068338
fprp	0.057722	0.054416	0.060298	0.060678	0.072126	0.058778	0.057121	0.064696	0.050736	0.057276	0.061961	0.066251	0.054700	0.061075	0.061934	0.055244	0.061990	0.061927	0.062064	0.071819	0.060641
fpru	0.027310	0.026286	0.030053	0.026048	0.031691	0.026365	0.029806	0.030586	0.024263	0.034704	0.030654	0.023855	0.029289	0.024879	0.025728	0.023394	0.029522	0.027160	0.029544	0.034039	0.028259
tprp	0.443627	0.447248	0.432558	0.405702	0.443373	0.448598	0.406103	0.422434	0.463087	0.426573	0.466346	0.442922	0.454955	0.417840	0.453431	0.419512	0.490566	0.442857	0.428230	0.435484	0.439572
tpru	0.334197	0.363874	0.378947	0.328000	0.338542	0.313673	0.376731	0.327456	0.336658	0.336870	0.323760	0.343669	0.365079	0.328358	0.355615	0.319899	0.364066	0.356757	0.358696	0.369231	0.346004
spd	0.084853	0.086292	0.080436	0.088392	0.089437	0.093966	0.073430	0.085523	0.096239	0.077007	0.094079	0.097386	0.085217	0.088665	0.087535	0.083780	0.096936	0.086987	0.082366	0.086722	0.087262
aod	0.069921	0.055752	0.041928	0.056166	0.072633	0.083669	0.028343	0.064545	0.076451	0.056138	0.086946	0.070825	0.057643	0.062839	0.067011	0.065732	0.079484	0.060434	0.051027	0.052016	0.062975
eod	0.109431	0.083373	0.053611	0.077702	0.104832	0.134925	0.029372	0.094978	0.126429	0.089703	0.142586	0.099253	0.089876	0.089482	0.097816	0.099613	0.126500	0.086100	0.069534	0.066253	0.093569
