accuracy	0.595894	0.653701	0.638574	0.551594	0.627229	0.633171	0.619125	0.632631	0.643436	0.641275	0.672069	0.646677	0.619665	0.634792	0.663965	0.616424	0.647218	0.667207	0.638033	0.654241	0.634846
recall	0.580479	0.649437	0.618656	0.519041	0.608831	0.619978	0.607734	0.604868	0.626082	0.642481	0.669102	0.628548	0.595866	0.613554	0.654324	0.596852	0.633930	0.654125	0.628612	0.645737	0.619912
precision	0.609098	0.653095	0.641759	0.552819	0.641749	0.637577	0.616550	0.626913	0.653664	0.641090	0.668925	0.658070	0.625777	0.635153	0.660671	0.630977	0.651845	0.668163	0.642658	0.654998	0.638578
f1score	0.559358	0.649358	0.612749	0.443099	0.594886	0.614439	0.605499	0.599957	0.618073	0.640328	0.669008	0.620401	0.582686	0.608108	0.654962	0.579426	0.629936	0.653434	0.624372	0.644721	0.610240
mcc	0.187404	0.302510	0.259388	0.063426	0.248408	0.256954	0.224111	0.230731	0.278384	0.283567	0.338026	0.285094	0.219615	0.247768	0.314931	0.225258	0.285213	0.321983	0.270906	0.300592	0.257213
srp	0.673171	0.528951	0.729819	0.717791	0.779014	0.681890	0.626707	0.641186	0.676800	0.539171	0.642633	0.797735	0.698361	0.674383	0.686028	0.731366	0.713826	0.718069	0.649755	0.666137	0.678640
sru	0.799353	0.610561	0.696141	1.000000	0.725041	0.682566	0.652685	0.757851	0.734910	0.481667	0.496290	0.680454	0.771958	0.723192	0.571664	0.771334	0.656631	0.616212	0.664516	0.607201	0.685011
fprp	0.546559	0.373077	0.571429	0.590361	0.669421	0.567568	0.496000	0.508621	0.509960	0.379447	0.501992	0.696850	0.546939	0.542857	0.512097	0.606426	0.564103	0.573077	0.529880	0.516000	0.540133
fpru	0.721865	0.446078	0.578333	1.000000	0.608838	0.546980	0.539363	0.634921	0.607383	0.330465	0.300172	0.529611	0.681973	0.595855	0.410959	0.672185	0.518639	0.441941	0.520259	0.452303	0.556906
tprp	0.758152	0.635884	0.827128	0.796526	0.847545	0.760638	0.706601	0.716381	0.788770	0.640704	0.733850	0.868132	0.800000	0.754342	0.796915	0.810127	0.804124	0.816754	0.733333	0.765172	0.768054
tpru	0.877850	0.778333	0.805901	1.000000	0.841244	0.812903	0.766387	0.866252	0.855556	0.623586	0.677778	0.819315	0.852986	0.841346	0.720635	0.870647	0.795752	0.775316	0.807384	0.760586	0.807488
spd	0.126182	0.081610	0.033677	0.282209	0.053973	0.000676	0.025977	0.116666	0.058110	0.057504	0.146343	0.117280	0.073597	0.048809	0.114364	0.039967	0.057195	0.101857	0.014762	0.058935	0.080485
aod	0.147502	0.107725	0.007161	0.306556	0.033442	0.015839	0.051574	0.138085	0.082104	0.033050	0.128946	0.108028	0.094010	0.070001	0.088709	0.063140	0.026918	0.086287	0.032215	0.034141	0.082772
eod	0.119698	0.142449	0.021227	0.203474	0.006301	0.052265	0.059785	0.149871	0.066786	0.017117	0.056072	0.048817	0.052986	0.087004	0.076280	0.060520	0.008372	0.041437	0.074050	0.004585	0.067455
