accuracy	0.888379	0.897781	0.872527	0.866732	0.855472	0.899749	0.892642	0.880070	0.847710	0.886411	0.853832	0.900295	0.877883	0.907292	0.878649	0.874385	0.883022	0.879195	0.892096	0.895157	0.881464
recall	0.801804	0.791661	0.826339	0.834660	0.845698	0.741844	0.815863	0.821582	0.853292	0.816500	0.833201	0.790636	0.815609	0.750998	0.812052	0.815969	0.798521	0.826957	0.780822	0.775501	0.807476
precision	0.746785	0.769007	0.730980	0.728354	0.712804	0.773197	0.757603	0.740096	0.710995	0.753185	0.713838	0.770616	0.739324	0.788576	0.733947	0.731942	0.738324	0.735856	0.752689	0.761083	0.744460
f1score	0.769719	0.779601	0.763990	0.762846	0.749275	0.756078	0.781824	0.770515	0.746712	0.778794	0.748351	0.780064	0.768204	0.767860	0.763326	0.762511	0.762723	0.768574	0.765560	0.767984	0.765726
mcc	0.545824	0.560210	0.549101	0.552887	0.542462	0.514086	0.570499	0.555736	0.546051	0.566155	0.533857	0.560896	0.549665	0.538264	0.540384	0.541430	0.533460	0.555391	0.532769	0.536390	0.546276
srp	0.194245	0.192913	0.177686	0.172794	0.169811	0.172285	0.158915	0.203509	0.164794	0.157895	0.157706	0.165992	0.158915	0.162698	0.182510	0.174797	0.197026	0.165414	0.219931	0.164706	0.175727
sru	0.156838	0.138761	0.195171	0.209803	0.227989	0.106194	0.161210	0.181110	0.245270	0.172053	0.226545	0.134944	0.182923	0.101855	0.176947	0.186496	0.162311	0.185227	0.138324	0.133041	0.171151
fprp	0.093333	0.062500	0.078947	0.074419	0.068293	0.064677	0.063725	0.113122	0.079439	0.043902	0.069124	0.066667	0.041237	0.058511	0.078818	0.056701	0.080189	0.076190	0.122807	0.073171	0.073289
fpru	0.082713	0.065990	0.112522	0.123387	0.143259	0.047515	0.081910	0.099588	0.156218	0.089994	0.141016	0.063124	0.101739	0.042176	0.099718	0.106845	0.089160	0.104319	0.069528	0.064425	0.094257
tprp	0.622642	0.596774	0.538462	0.543860	0.516667	0.500000	0.518519	0.515625	0.509434	0.540984	0.467742	0.538462	0.515625	0.468750	0.533333	0.615385	0.631579	0.500000	0.571429	0.540000	0.539263
tpru	0.689751	0.652174	0.774977	0.803904	0.850564	0.533582	0.722727	0.756364	0.877737	0.731514	0.824324	0.649541	0.743772	0.549188	0.733826	0.743268	0.688827	0.770872	0.636279	0.619091	0.717614
spd	0.037406	0.054153	0.017485	0.037009	0.058178	0.066091	0.002296	0.022398	0.080476	0.014158	0.068839	0.031048	0.024008	0.060843	0.005562	0.011699	0.034715	0.019813	0.081607	0.031665	0.037972
aod	0.028244	0.029445	0.135046	0.154506	0.204432	0.008210	0.111197	0.113602	0.222541	0.118311	0.214237	0.053769	0.144324	0.032052	0.110697	0.089013	0.033110	0.149500	0.005786	0.035173	0.099660
eod	0.067109	0.055400	0.236516	0.260045	0.333897	0.033582	0.204209	0.240739	0.368303	0.190530	0.356582	0.111080	0.228147	0.080438	0.200493	0.127883	0.057248	0.270872	0.064850	0.079091	0.178351
