accuracy	0.628309	0.661264	0.643436	0.626688	0.612102	0.629930	0.632631	0.666126	0.635332	0.640735	0.640735	0.623447	0.640194	0.638574	0.618044	0.620746	0.639114	0.647218	0.640194	0.638033	0.636143
recall	0.609638	0.647125	0.613814	0.600451	0.585179	0.607114	0.606707	0.626360	0.607812	0.612323	0.608007	0.591457	0.608530	0.601490	0.580855	0.594558	0.614437	0.620657	0.622425	0.615341	0.608714
precision	0.679273	0.697154	0.677132	0.676646	0.666314	0.671389	0.675434	0.699992	0.692916	0.672811	0.700681	0.708525	0.688319	0.695823	0.684552	0.676336	0.689131	0.679721	0.686147	0.693949	0.685612
f1score	0.578730	0.631997	0.592752	0.567249	0.542721	0.579681	0.578935	0.610964	0.575283	0.591257	0.575843	0.543153	0.580349	0.568033	0.532973	0.556393	0.586731	0.601985	0.597792	0.585494	0.578916
mcc	0.280394	0.340624	0.283972	0.266415	0.238046	0.270985	0.273642	0.317936	0.288434	0.278643	0.294449	0.276196	0.285925	0.281950	0.244311	0.258256	0.294235	0.294514	0.301920	0.299133	0.283499
srp	0.783099	0.800000	0.833333	0.838527	0.797688	0.834286	0.842105	0.840220	0.861582	0.767568	0.855491	0.843243	0.841954	0.811111	0.845144	0.839542	0.814159	0.794872	0.863248	0.846847	0.827701
sru	0.819519	0.742172	0.793939	0.827770	0.862458	0.801466	0.808054	0.800403	0.826987	0.806212	0.838538	0.883862	0.824351	0.858484	0.884354	0.842210	0.816138	0.788000	0.777333	0.813570	0.820791
fprp	0.682540	0.610169	0.724409	0.720339	0.617391	0.699187	0.710744	0.704918	0.763158	0.619048	0.691667	0.672000	0.720339	0.656000	0.723077	0.752000	0.645669	0.641026	0.715447	0.727273	0.689820
fpru	0.698520	0.595491	0.667614	0.721311	0.780488	0.691257	0.696970	0.657312	0.709413	0.685028	0.728291	0.794444	0.706294	0.751073	0.799145	0.737637	0.700276	0.659722	0.655034	0.690638	0.706298
tprp	0.838428	0.896552	0.891213	0.897872	0.887446	0.907489	0.908333	0.908714	0.908333	0.844262	0.942478	0.930612	0.904348	0.893617	0.908367	0.888393	0.915094	0.871795	0.942982	0.915094	0.900071
tpru	0.938911	0.890228	0.907810	0.929504	0.941330	0.906372	0.913613	0.919852	0.939791	0.917206	0.938053	0.968463	0.931472	0.953283	0.962240	0.940568	0.922589	0.906410	0.898013	0.929577	0.927764
spd	0.036420	0.057828	0.039394	0.010757	0.064771	0.032820	0.034052	0.039817	0.034595	0.038644	0.016953	0.040619	0.017603	0.047373	0.039209	0.002669	0.001978	0.006872	0.085915	0.033276	0.034078
aod	0.058231	0.010501	0.020099	0.016302	0.108490	0.004524	0.004247	0.018234	0.011144	0.069462	0.016100	0.080147	0.006539	0.077369	0.064971	0.018906	0.031051	0.026656	0.052691	0.011076	0.035337
eod	0.100483	0.006324	0.016597	0.031632	0.053884	0.001117	0.005279	0.011138	0.031457	0.072943	0.004425	0.037850	0.027124	0.059666	0.053873	0.052176	0.007494	0.034615	0.044969	0.014483	0.033377
