accuracy	0.733333	0.773333	0.730000	0.746667	0.730000	0.750000	0.723333	0.790000	0.746667	0.773333	0.730000	0.700000	0.720000	0.746667	0.706667	0.750000	0.770000	0.733333	0.740000	0.766667	0.743000
recall	0.667029	0.667246	0.639605	0.680985	0.641689	0.641586	0.634148	0.680001	0.657143	0.653838	0.620156	0.603859	0.616084	0.628787	0.618873	0.659072	0.694712	0.644022	0.657169	0.680711	0.649336
precision	0.671962	0.731707	0.703308	0.686454	0.693750	0.678001	0.711073	0.751396	0.696637	0.720000	0.710050	0.650468	0.689980	0.662335	0.654131	0.708793	0.733766	0.682468	0.703787	0.711550	0.697581
f1score	0.669312	0.683230	0.647698	0.683527	0.650616	0.652343	0.639000	0.698925	0.668045	0.669775	0.624531	0.606895	0.619818	0.638692	0.625000	0.671009	0.707127	0.653500	0.667614	0.691612	0.658413
mcc	0.338955	0.393711	0.336944	0.367398	0.331374	0.317506	0.336542	0.425448	0.351568	0.367936	0.317735	0.250020	0.297010	0.289183	0.270717	0.364490	0.426694	0.324218	0.357933	0.391047	0.342822
srp	0.744898	0.834906	0.767773	0.806122	0.817734	0.805825	0.821596	0.832558	0.775510	0.850746	0.832461	0.825000	0.846154	0.822660	0.765854	0.780488	0.817757	0.794258	0.769231	0.759615	0.803557
sru	0.692308	0.784091	0.921348	0.586538	0.762887	0.797872	0.839080	0.811765	0.807692	0.797980	0.889908	0.790000	0.828571	0.783505	0.831579	0.831579	0.651163	0.769231	0.826087	0.815217	0.790920
fprp	0.468085	0.603448	0.544118	0.530612	0.584615	0.584906	0.621212	0.563636	0.519231	0.591837	0.588235	0.677419	0.721311	0.640000	0.566667	0.526316	0.561404	0.596491	0.456140	0.462963	0.570432
fpru	0.512821	0.535714	0.806452	0.388889	0.656250	0.620690	0.702703	0.571429	0.631579	0.636364	0.804348	0.666667	0.621622	0.586207	0.722222	0.657143	0.400000	0.571429	0.743590	0.612903	0.622451
tprp	0.832215	0.922078	0.874126	0.897959	0.927536	0.882353	0.911565	0.925000	0.868056	0.934211	0.921429	0.891304	0.902985	0.882353	0.848276	0.878378	0.910828	0.868421	0.887417	0.863636	0.891506
tpru	0.800000	0.900000	0.982759	0.691176	0.815385	0.876923	0.940000	0.929825	0.909091	0.878788	0.952381	0.859375	0.941176	0.867647	0.898305	0.933333	0.823529	0.892857	0.886792	0.918033	0.884869
spd	0.052590	0.050815	0.153576	0.219584	0.054847	0.007953	0.017484	0.020793	0.032182	0.052766	0.057448	0.035000	0.017582	0.039155	0.065725	0.051091	0.166594	0.025028	0.056856	0.055602	0.061634
aod	0.006260	0.044906	0.185483	0.174253	0.020259	0.015177	0.054963	0.006308	0.076692	0.005448	0.123532	0.021341	0.030749	0.034249	0.102792	0.092891	0.124351	0.000313	0.143412	0.102168	0.068277
eod	0.032215	0.022078	0.108633	0.206783	0.112152	0.005430	0.028435	0.004825	0.041035	0.055423	0.030952	0.031929	0.038191	0.014706	0.050029	0.054955	0.087299	0.024436	0.000625	0.054396	0.050226
