accuracy	0.605619	0.628309	0.632631	0.638574	0.632631	0.620205	0.643976	0.640735	0.633712	0.640735	0.633712	0.626148	0.643976	0.639654	0.611561	0.615883	0.644516	0.649919	0.640735	0.640194	0.633171
recall	0.591895	0.617412	0.614713	0.627146	0.615459	0.603708	0.628981	0.613352	0.620811	0.626131	0.614777	0.609093	0.624622	0.615537	0.582466	0.602227	0.630730	0.635739	0.630616	0.628763	0.616709
precision	0.616237	0.638087	0.632023	0.638875	0.644960	0.629133	0.649068	0.636707	0.634076	0.639183	0.636051	0.630291	0.648632	0.645665	0.625816	0.617183	0.649668	0.650114	0.647343	0.643972	0.637654
f1score	0.576803	0.608636	0.610523	0.624852	0.604335	0.592084	0.624064	0.609174	0.617683	0.624223	0.608811	0.601425	0.618991	0.607207	0.558443	0.596065	0.626081	0.633916	0.625443	0.624795	0.609678
mcc	0.206703	0.254661	0.246128	0.265762	0.258743	0.231449	0.277322	0.248966	0.254542	0.264993	0.249925	0.238444	0.272197	0.259458	0.203721	0.218900	0.279758	0.285492	0.277455	0.272310	0.253346
srp	0.676056	0.677143	0.702186	0.711048	0.670520	0.680000	0.731302	0.688705	0.700565	0.686486	0.690751	0.721622	0.715517	0.688889	0.724409	0.727794	0.657817	0.680912	0.672365	0.663664	0.693388
sru	0.743316	0.699534	0.683502	0.636182	0.741528	0.734843	0.677181	0.722446	0.653307	0.653612	0.705648	0.701553	0.703925	0.743125	0.814966	0.671771	0.687169	0.656667	0.670667	0.666667	0.698380
fprp	0.539683	0.500000	0.535433	0.584746	0.486957	0.495935	0.528926	0.540984	0.526316	0.515873	0.491667	0.560000	0.533898	0.520000	0.592308	0.640000	0.488189	0.512821	0.495935	0.520661	0.530516
fpru	0.648721	0.582228	0.565341	0.501366	0.621951	0.632514	0.550964	0.595273	0.532060	0.522599	0.591036	0.591667	0.574825	0.619456	0.726496	0.560440	0.549724	0.512500	0.538255	0.529172	0.577329
tprp	0.751092	0.767241	0.790795	0.774468	0.761905	0.779736	0.833333	0.763485	0.783333	0.774590	0.796460	0.804082	0.808696	0.778723	0.792829	0.776786	0.759434	0.764957	0.767544	0.745283	0.778739
tpru	0.836653	0.817938	0.790013	0.765013	0.856584	0.832250	0.797120	0.828607	0.769634	0.773609	0.809102	0.805519	0.821066	0.852273	0.895833	0.776486	0.813452	0.789744	0.801325	0.796415	0.811432
spd	0.067259	0.022391	0.018684	0.074867	0.071008	0.054843	0.054121	0.033741	0.047258	0.032874	0.014896	0.020069	0.011592	0.054237	0.090557	0.056023	0.029352	0.024245	0.001698	0.003003	0.039136
aod	0.097300	0.066463	0.014563	0.046417	0.114837	0.094546	0.007087	0.059705	0.003978	0.002873	0.056006	0.016552	0.026649	0.086503	0.118596	0.039930	0.057776	0.012233	0.038050	0.029821	0.049494
eod	0.085562	0.050697	0.000782	0.009455	0.094679	0.052514	0.036213	0.065121	0.013700	0.000981	0.012642	0.001437	0.012370	0.073549	0.103005	0.000300	0.054018	0.024786	0.033781	0.051132	0.038836
