accuracy	0.646677	0.674230	0.642896	0.640194	0.645597	0.641275	0.650999	0.640735	0.675851	0.653701	0.672609	0.653160	0.644516	0.667747	0.678012	0.646137	0.657482	0.658563	0.636953	0.654241	0.654079
recall	0.641913	0.671352	0.636848	0.635211	0.636170	0.634214	0.644132	0.647816	0.668148	0.651307	0.669594	0.648244	0.630676	0.658845	0.666861	0.641184	0.647982	0.652597	0.636153	0.651600	0.648542
precision	0.645768	0.673249	0.638387	0.637165	0.645310	0.639339	0.648245	0.645636	0.674652	0.650753	0.669450	0.650014	0.642456	0.663283	0.676593	0.643485	0.657670	0.654873	0.635875	0.652153	0.652218
f1score	0.641754	0.671653	0.637296	0.635548	0.635027	0.633998	0.644462	0.640249	0.668643	0.650961	0.669519	0.648681	0.629470	0.659737	0.667508	0.641523	0.647267	0.653161	0.635953	0.651799	0.648210
mcc	0.287655	0.344596	0.275231	0.272369	0.281332	0.273505	0.292348	0.293444	0.342738	0.302060	0.339044	0.298252	0.272878	0.322097	0.343316	0.284660	0.305499	0.307461	0.272027	0.303752	0.300713
srp	0.690141	0.722857	0.734973	0.745042	0.754335	0.728571	0.689751	0.606061	0.757062	0.629730	0.687861	0.689189	0.767241	0.747222	0.737533	0.722063	0.737463	0.712251	0.629630	0.669670	0.707932
sru	0.562166	0.521652	0.533333	0.531375	0.602658	0.573618	0.569799	0.434812	0.569138	0.516543	0.514950	0.539500	0.624750	0.562710	0.598639	0.539947	0.605820	0.545333	0.496000	0.520422	0.548158
fprp	0.523810	0.508475	0.653543	0.677966	0.600000	0.634146	0.545455	0.434426	0.605263	0.436508	0.508333	0.568000	0.677966	0.584000	0.569231	0.624000	0.629921	0.572650	0.439024	0.570248	0.568148
fpru	0.421265	0.358090	0.380682	0.385246	0.466125	0.428962	0.418733	0.276219	0.394270	0.361582	0.336134	0.380556	0.479720	0.393419	0.420228	0.387363	0.441989	0.383333	0.366443	0.354138	0.391725
tprp	0.781659	0.831897	0.778243	0.778723	0.831169	0.779736	0.762500	0.692946	0.829167	0.729508	0.783186	0.751020	0.813043	0.834043	0.824701	0.776786	0.801887	0.782051	0.732456	0.726415	0.781057
tpru	0.701195	0.686747	0.670935	0.671018	0.734029	0.711313	0.713351	0.567201	0.736911	0.658473	0.676359	0.689882	0.756345	0.712121	0.761719	0.683463	0.756345	0.694872	0.623841	0.677337	0.694173
spd	0.127975	0.201205	0.201639	0.213667	0.151677	0.154954	0.119952	0.171249	0.187924	0.113187	0.172911	0.149689	0.142491	0.184513	0.138893	0.182116	0.131643	0.166917	0.133630	0.149248	0.159774
aod	0.091504	0.147767	0.190085	0.200213	0.115508	0.136803	0.087935	0.141976	0.151624	0.072980	0.139513	0.124292	0.127472	0.156251	0.105993	0.164980	0.116737	0.138248	0.090598	0.132594	0.131654
eod	0.080464	0.145150	0.107308	0.107705	0.097140	0.068422	0.049149	0.125745	0.092256	0.071035	0.106827	0.061139	0.056698	0.121921	0.062982	0.093323	0.045542	0.087179	0.108615	0.049078	0.086884
