accuracy	0.753333	0.730000	0.733333	0.690000	0.686667	0.723333	0.750000	0.766667	0.760000	0.736667	0.720000	0.710000	0.703333	0.753333	0.703333	0.733333	0.730000	0.746667	0.746667	0.760000	0.731833
recall	0.649750	0.661215	0.672848	0.627223	0.631202	0.657474	0.698462	0.701072	0.666667	0.636216	0.634300	0.653314	0.669378	0.645512	0.696385	0.650084	0.674958	0.668792	0.703431	0.629822	0.661405
precision	0.696352	0.667259	0.697004	0.623016	0.637574	0.654036	0.725274	0.707429	0.718750	0.659411	0.677115	0.666074	0.665246	0.674257	0.676657	0.682049	0.680670	0.700621	0.708194	0.714686	0.681584
f1score	0.661915	0.663952	0.680494	0.624874	0.633785	0.655654	0.706936	0.704042	0.680000	0.644096	0.642045	0.657979	0.667078	0.655280	0.680006	0.659091	0.677543	0.678674	0.705639	0.642479	0.666078
mcc	0.342950	0.328418	0.369063	0.250203	0.268700	0.311490	0.422887	0.408451	0.381881	0.294716	0.308457	0.319133	0.334598	0.318475	0.372520	0.330591	0.355583	0.368039	0.411598	0.333893	0.341582
srp	0.821429	0.712264	0.758294	0.755102	0.753695	0.733010	0.741784	0.767442	0.846939	0.830846	0.806283	0.735000	0.692308	0.847291	0.648780	0.775610	0.742991	0.818182	0.716346	0.855769	0.767968
sru	0.778846	0.772727	0.685393	0.596154	0.597938	0.680851	0.689655	0.658824	0.711538	0.686869	0.761468	0.680000	0.590476	0.690722	0.463158	0.768421	0.627907	0.648352	0.641304	0.858696	0.679465
fprp	0.574468	0.465517	0.529412	0.551020	0.553846	0.509434	0.484848	0.472727	0.653846	0.632653	0.627451	0.548387	0.491803	0.660000	0.416667	0.561404	0.561404	0.614035	0.421053	0.648148	0.548906
fpru	0.615385	0.571429	0.451613	0.472222	0.468750	0.448276	0.432432	0.392857	0.447368	0.515152	0.586957	0.444444	0.324324	0.448276	0.166667	0.571429	0.314286	0.400000	0.410256	0.709677	0.459590
tprp	0.899329	0.805195	0.867133	0.823129	0.847826	0.810458	0.857143	0.868750	0.916667	0.894737	0.871429	0.818841	0.783582	0.908497	0.744828	0.858108	0.808917	0.894737	0.827815	0.928571	0.851784
tpru	0.876923	0.866667	0.810345	0.661765	0.661538	0.784615	0.880000	0.789474	0.863636	0.772727	0.888889	0.812500	0.735294	0.794118	0.644068	0.883333	0.843137	0.803571	0.811321	0.934426	0.805917
spd	0.042582	0.060463	0.072901	0.158948	0.155756	0.052159	0.052129	0.108618	0.135400	0.143977	0.044815	0.055000	0.101832	0.156569	0.185623	0.007189	0.115084	0.169830	0.075042	0.002926	0.094842
aod	0.009255	0.083692	0.067293	0.120081	0.135692	0.043500	0.014779	0.079573	0.129754	0.119756	0.011517	0.055142	0.107883	0.163052	0.175380	0.017625	0.106449	0.152600	0.013645	0.033692	0.082018
eod	0.022406	0.061472	0.056788	0.161365	0.186288	0.025842	0.022857	0.079276	0.053030	0.122010	0.017460	0.006341	0.048288	0.114379	0.100760	0.025225	0.034220	0.091165	0.016494	0.005855	0.062576
