accuracy	0.733333	0.770000	0.730000	0.763333	0.716667	0.750000	0.743333	0.790000	0.753333	0.763333	0.773333	0.713333	0.733333	0.726667	0.713333	0.763333	0.770000	0.740000	0.766667	0.763333	0.748833
recall	0.667029	0.668387	0.657546	0.685499	0.642603	0.660606	0.667907	0.698601	0.677778	0.669781	0.695241	0.629521	0.644373	0.631479	0.643076	0.680811	0.685619	0.673077	0.704350	0.692613	0.668795
precision	0.671962	0.723738	0.694720	0.706506	0.671053	0.680124	0.730889	0.742410	0.704678	0.698691	0.757484	0.669756	0.703619	0.641183	0.664591	0.726514	0.737894	0.691268	0.735080	0.706767	0.702946
f1score	0.669312	0.683249	0.666388	0.693750	0.649913	0.668137	0.678161	0.713528	0.687130	0.680137	0.710227	0.636394	0.653500	0.635556	0.649533	0.693750	0.699891	0.679891	0.714736	0.698638	0.678091
mcc	0.338955	0.388199	0.350299	0.391442	0.312363	0.340171	0.393791	0.438829	0.381509	0.367336	0.448427	0.296561	0.342911	0.272490	0.306914	0.404753	0.420274	0.363891	0.438355	0.399129	0.369830
srp	0.744898	0.834906	0.767773	0.806122	0.817734	0.805825	0.821596	0.832558	0.775510	0.850746	0.832461	0.825000	0.846154	0.822660	0.765854	0.780488	0.817757	0.794258	0.769231	0.759615	0.803557
sru	0.692308	0.750000	0.764045	0.673077	0.639175	0.691489	0.724138	0.694118	0.730769	0.646465	0.715596	0.710000	0.733333	0.639175	0.705263	0.789474	0.720930	0.615385	0.695652	0.717391	0.702389
fprp	0.468085	0.603448	0.544118	0.530612	0.584615	0.584906	0.621212	0.563636	0.519231	0.591837	0.588235	0.677419	0.721311	0.640000	0.566667	0.526316	0.561404	0.596491	0.456140	0.462963	0.570432
fpru	0.512821	0.500000	0.580645	0.444444	0.531250	0.448276	0.486486	0.392857	0.500000	0.454545	0.456522	0.500000	0.432432	0.448276	0.527778	0.542857	0.485714	0.342857	0.487179	0.483871	0.477941
tprp	0.832215	0.922078	0.874126	0.897959	0.927536	0.882353	0.911565	0.925000	0.868056	0.934211	0.921429	0.891304	0.902985	0.882353	0.848276	0.878378	0.910828	0.868421	0.887417	0.863636	0.891506
tpru	0.800000	0.866667	0.862069	0.794118	0.692308	0.800000	0.900000	0.842105	0.863636	0.742424	0.904762	0.828125	0.897059	0.720588	0.813559	0.933333	0.882353	0.785714	0.849057	0.836066	0.830697
spd	0.052590	0.084906	0.003728	0.133046	0.178559	0.114336	0.097458	0.138440	0.044741	0.204282	0.116864	0.115000	0.112821	0.183485	0.060591	0.008986	0.096827	0.178874	0.073579	0.042224	0.102067
aod	0.006260	0.079430	0.012235	0.095005	0.144297	0.109491	0.073145	0.126837	0.011825	0.164539	0.074190	0.120299	0.147403	0.176744	0.036803	0.035748	0.052082	0.168170	0.003661	0.003331	0.082075
eod	0.032215	0.055411	0.012057	0.103842	0.235229	0.082353	0.011565	0.082895	0.004419	0.191786	0.016667	0.063179	0.005926	0.161765	0.034717	0.054955	0.028475	0.082707	0.038361	0.027571	0.066305
