accuracy	0.901935	0.899311	0.900295	0.898765	0.902263	0.900842	0.905980	0.901279	0.902372	0.899749	0.898874	0.906527	0.898765	0.905215	0.900077	0.898874	0.900514	0.902482	0.901498	0.901716	0.901367
recall	0.721533	0.716741	0.718100	0.716805	0.713626	0.718721	0.731926	0.719254	0.719468	0.717727	0.720740	0.717997	0.725205	0.718790	0.716564	0.712097	0.721246	0.722907	0.718342	0.717458	0.719262
precision	0.784367	0.784493	0.786852	0.787414	0.784640	0.781773	0.800799	0.790421	0.790278	0.794410	0.783314	0.805717	0.785758	0.790555	0.780720	0.784379	0.780451	0.785398	0.784278	0.788765	0.787739
f1score	0.747226	0.743844	0.745575	0.744773	0.741785	0.744408	0.759873	0.747536	0.747685	0.747577	0.746243	0.751350	0.750104	0.747395	0.742549	0.740479	0.745690	0.748524	0.744974	0.745765	0.746668
mcc	0.501983	0.496634	0.500249	0.499250	0.493180	0.496507	0.528254	0.504682	0.504804	0.506364	0.500154	0.516315	0.507362	0.504263	0.493129	0.491186	0.498191	0.504450	0.498276	0.501176	0.502320
srp	0.190647	0.196850	0.194215	0.143382	0.173585	0.187266	0.178295	0.192982	0.149813	0.191729	0.157706	0.170040	0.197674	0.166667	0.171103	0.162602	0.204461	0.169173	0.213058	0.168627	0.178994
sru	0.090427	0.090521	0.090286	0.092282	0.086242	0.090428	0.091349	0.089145	0.089640	0.089742	0.094384	0.082809	0.095961	0.085891	0.090612	0.089316	0.091800	0.091319	0.088189	0.088844	0.089959
fprp	0.084444	0.083333	0.094737	0.051163	0.082927	0.079602	0.078431	0.104072	0.056075	0.087805	0.073733	0.071795	0.082474	0.047872	0.064039	0.061856	0.103774	0.076190	0.100877	0.068293	0.077675
fpru	0.037118	0.037104	0.036182	0.037300	0.035047	0.037782	0.034151	0.034656	0.035714	0.034345	0.038799	0.029706	0.039279	0.034659	0.038195	0.036599	0.038230	0.037293	0.035985	0.035549	0.036185
tprp	0.641509	0.548387	0.557692	0.491228	0.483333	0.515152	0.555556	0.500000	0.528302	0.540984	0.451613	0.538462	0.546875	0.515625	0.533333	0.538462	0.578947	0.517857	0.619048	0.580000	0.539118
tpru	0.473684	0.467391	0.469847	0.470275	0.462406	0.473881	0.496364	0.473636	0.472628	0.467430	0.482883	0.463303	0.487544	0.469914	0.468577	0.457810	0.477378	0.482375	0.466047	0.466364	0.472487
spd	0.100220	0.106330	0.103929	0.051101	0.087343	0.096838	0.086946	0.103838	0.060173	0.101987	0.063322	0.087231	0.101713	0.080776	0.080490	0.073286	0.112661	0.077854	0.124870	0.079784	0.089035
aod	0.107576	0.063613	0.073200	0.017408	0.034403	0.041546	0.051736	0.047890	0.038017	0.063507	0.001832	0.058624	0.051263	0.029462	0.045300	0.052954	0.083557	0.037190	0.108947	0.073190	0.054061
eod	0.167825	0.080996	0.087845	0.020953	0.020927	0.041271	0.059192	0.026364	0.055674	0.073554	0.031270	0.075159	0.059331	0.045711	0.064757	0.080652	0.101570	0.035482	0.153001	0.113636	0.069758
