accuracy	0.642896	0.653701	0.639114	0.642355	0.644516	0.633171	0.660724	0.649919	0.642355	0.647218	0.648298	0.648838	0.656402	0.659643	0.658023	0.626688	0.654241	0.655862	0.651540	0.652080	0.648379
recall	0.640004	0.650127	0.633974	0.636942	0.640533	0.630823	0.656419	0.645512	0.639672	0.646378	0.643694	0.644646	0.653808	0.654660	0.651464	0.622723	0.650410	0.651800	0.648269	0.648159	0.644501
precision	0.641249	0.652660	0.634787	0.639382	0.641842	0.630936	0.657882	0.644363	0.639724	0.645254	0.644423	0.645705	0.653319	0.655218	0.653879	0.623766	0.651597	0.652392	0.649992	0.649870	0.645412
f1score	0.640207	0.650245	0.634271	0.637278	0.640851	0.630875	0.656837	0.644763	0.639697	0.645359	0.643974	0.644979	0.653514	0.654900	0.652076	0.622963	0.650752	0.652039	0.648505	0.648492	0.644629
mcc	0.281250	0.302777	0.268760	0.276314	0.282372	0.261759	0.314298	0.289872	0.279395	0.291630	0.288116	0.290349	0.307126	0.309877	0.305333	0.246486	0.302004	0.304191	0.298256	0.298025	0.289910
srp	0.637398	0.665102	0.657331	0.684049	0.685215	0.639370	0.641882	0.647426	0.636800	0.631336	0.656740	0.671521	0.660656	0.638889	0.690738	0.653727	0.649518	0.679128	0.648118	0.648649	0.656180
sru	0.515372	0.520627	0.518489	0.519600	0.498363	0.489309	0.520973	0.501653	0.495922	0.464167	0.510305	0.505272	0.482675	0.521197	0.522241	0.510356	0.514239	0.492142	0.519355	0.521277	0.507177
fprp	0.514170	0.534615	0.497835	0.526104	0.566116	0.517375	0.472000	0.525862	0.490040	0.494071	0.501992	0.535433	0.502041	0.489796	0.532258	0.562249	0.461538	0.523077	0.525896	0.508000	0.514023
fpru	0.364952	0.359477	0.385000	0.389351	0.348609	0.348993	0.361809	0.329806	0.350671	0.304647	0.360206	0.346870	0.318027	0.348877	0.363014	0.372517	0.372771	0.331023	0.354943	0.363487	0.353752
tprp	0.720109	0.754617	0.755319	0.781638	0.759690	0.723404	0.745721	0.716381	0.735294	0.718593	0.757106	0.766484	0.767123	0.729529	0.791774	0.711392	0.762887	0.785340	0.733333	0.741425	0.747858
tpru	0.667752	0.685000	0.642857	0.650502	0.648118	0.624194	0.680672	0.653188	0.633333	0.613893	0.649206	0.651090	0.630934	0.681090	0.669841	0.648425	0.656863	0.639241	0.682183	0.677524	0.654295
spd	0.122026	0.144475	0.138842	0.164449	0.186851	0.150061	0.120908	0.145773	0.140878	0.167170	0.146435	0.166249	0.177980	0.117692	0.168497	0.143370	0.135278	0.186985	0.128763	0.127372	0.149003
aod	0.100787	0.122378	0.112649	0.133945	0.164539	0.133796	0.087620	0.129625	0.120665	0.147062	0.124843	0.151978	0.160101	0.094679	0.145588	0.126350	0.097395	0.169077	0.111052	0.104207	0.126917
eod	0.052356	0.069617	0.112462	0.131136	0.111572	0.099211	0.065049	0.063193	0.101961	0.104700	0.107900	0.115393	0.136189	0.048439	0.121933	0.062968	0.106024	0.146100	0.051150	0.063900	0.093563
