accuracy	0.743333	0.713333	0.730000	0.736667	0.720000	0.730000	0.740000	0.763333	0.763333	0.766667	0.746667	0.746667	0.700000	0.773333	0.730000	0.730000	0.730000	0.706667	0.726667	0.730000	0.736333
recall	0.642741	0.604325	0.629353	0.649111	0.669291	0.620217	0.711695	0.695047	0.713492	0.668270	0.678229	0.698929	0.659022	0.687554	0.663603	0.626463	0.623432	0.621760	0.655637	0.619562	0.656887
precision	0.680191	0.633333	0.712798	0.669255	0.677512	0.647404	0.711695	0.702876	0.717743	0.703849	0.711786	0.711085	0.659022	0.705439	0.686594	0.679592	0.680429	0.644720	0.682253	0.655671	0.683662
f1score	0.653106	0.610766	0.635086	0.656397	0.672744	0.628162	0.711695	0.698638	0.715511	0.680190	0.688098	0.703911	0.659022	0.695049	0.671048	0.635086	0.631679	0.627938	0.663475	0.628162	0.663288
mcc	0.320753	0.235881	0.331820	0.317728	0.346705	0.266236	0.423390	0.397846	0.431214	0.370415	0.388568	0.409834	0.318044	0.392586	0.349441	0.301408	0.298468	0.265490	0.336840	0.272854	0.338776
srp	0.809129	0.806584	0.853755	0.786885	0.690377	0.810484	0.676000	0.753968	0.743697	0.822314	0.779592	0.733051	0.690377	0.807377	0.778226	0.838583	0.840637	0.778226	0.748971	0.814961	0.778160
sru	0.745763	0.771930	0.765957	0.678571	0.754098	0.730769	0.560000	0.666667	0.580645	0.672414	0.654545	0.609375	0.606557	0.607143	0.576923	0.695652	0.734694	0.711538	0.771930	0.760870	0.682802
fprp	0.603448	0.629032	0.683544	0.590909	0.402985	0.593220	0.373333	0.450000	0.449275	0.603448	0.541667	0.452055	0.434783	0.568966	0.571429	0.643836	0.625000	0.621622	0.478261	0.625000	0.547091
fpru	0.571429	0.708333	0.600000	0.421053	0.633333	0.695652	0.392857	0.478261	0.285714	0.416667	0.440000	0.400000	0.517241	0.285714	0.315789	0.631579	0.714286	0.500000	0.703704	0.666667	0.518914
tprp	0.874317	0.867403	0.931034	0.859551	0.802326	0.878307	0.805714	0.848958	0.863905	0.891304	0.878613	0.858896	0.794118	0.881720	0.871345	0.917127	0.914439	0.844828	0.856322	0.878947	0.865959
tpru	0.903226	0.818182	0.888889	0.810811	0.870968	0.758621	0.772727	0.840000	0.731707	0.852941	0.833333	0.743590	0.687500	0.800000	0.727273	0.740741	0.761905	0.823529	0.833333	0.840000	0.801964
spd	0.063366	0.034655	0.087797	0.108314	0.063722	0.079715	0.116000	0.087302	0.163052	0.149900	0.125046	0.123676	0.083819	0.200234	0.201303	0.142931	0.105944	0.066687	0.022959	0.054091	0.104026
aod	0.001555	0.015040	0.062845	0.109298	0.149495	0.008627	0.006732	0.009651	0.147880	0.112572	0.073473	0.083680	0.012079	0.182486	0.199856	0.094322	0.031624	0.071460	0.101227	0.001360	0.073763
eod	0.028909	0.049221	0.042146	0.048740	0.068642	0.119686	0.032987	0.008958	0.132198	0.038363	0.045279	0.115306	0.106618	0.081720	0.144072	0.176386	0.152534	0.021298	0.022989	0.038947	0.073750
