accuracy	0.853653	0.843125	0.847126	0.844809	0.838071	0.845020	0.850916	0.823121	0.849863	0.848389	0.845020	0.844388	0.841440	0.842072	0.844178	0.840598	0.840598	0.852179	0.846915	0.843757	0.844262
recall	0.654447	0.633687	0.658748	0.648528	0.675522	0.668948	0.687145	0.701393	0.659430	0.663409	0.667219	0.661251	0.654032	0.667141	0.652624	0.656628	0.661741	0.629156	0.676752	0.638927	0.660836
precision	0.743469	0.726272	0.730323	0.735127	0.705788	0.720627	0.728888	0.692209	0.756905	0.731485	0.719893	0.728936	0.720544	0.723750	0.711046	0.712403	0.727873	0.744486	0.719602	0.730428	0.725503
f1score	0.681810	0.658918	0.682626	0.674324	0.688284	0.688377	0.704127	0.696561	0.688113	0.686824	0.686871	0.684257	0.676302	0.687678	0.673207	0.676566	0.684208	0.657349	0.693839	0.664569	0.681740
mcc	0.387829	0.347848	0.382431	0.373753	0.380107	0.386133	0.413934	0.393495	0.404763	0.388983	0.383512	0.384271	0.368623	0.386770	0.358947	0.364791	0.383960	0.355397	0.394031	0.357842	0.379871
srp	0.124260	0.108568	0.144698	0.143188	0.173540	0.158629	0.153169	0.238181	0.131216	0.145264	0.153164	0.144102	0.142365	0.152963	0.119515	0.131404	0.151515	0.093750	0.139426	0.123615	0.143627
sru	0.083361	0.084072	0.089744	0.077712	0.118215	0.101717	0.116913	0.152047	0.085065	0.093131	0.103336	0.097094	0.095444	0.106300	0.107723	0.110680	0.100032	0.071500	0.120644	0.079763	0.099725
fprp	0.057722	0.048896	0.066562	0.072498	0.100676	0.075793	0.071205	0.142971	0.048282	0.059598	0.070588	0.068589	0.065485	0.074919	0.057402	0.057646	0.070962	0.035933	0.067494	0.060890	0.068706
fpru	0.040778	0.045813	0.049962	0.038505	0.068729	0.060264	0.066319	0.099217	0.042553	0.055074	0.062056	0.053010	0.056295	0.059413	0.063942	0.067954	0.055306	0.036967	0.069559	0.040847	0.056628
tprp	0.333333	0.282110	0.376744	0.339912	0.407229	0.408879	0.399061	0.522673	0.357942	0.403263	0.406250	0.365297	0.367117	0.377934	0.321078	0.356098	0.384434	0.273810	0.361244	0.308756	0.367658
tpru	0.378238	0.350785	0.368421	0.354667	0.455729	0.396783	0.493075	0.508816	0.369077	0.360743	0.391645	0.397933	0.367725	0.420398	0.417112	0.400504	0.382979	0.318919	0.491848	0.343590	0.398449
spd	0.040900	0.024496	0.054955	0.065477	0.055324	0.056911	0.036256	0.086134	0.046151	0.052134	0.049828	0.047008	0.046921	0.046662	0.011792	0.020725	0.051483	0.022250	0.018782	0.043852	0.043902
aod	0.013980	0.032796	0.012461	0.009619	0.008276	0.013812	0.044564	0.028806	0.002704	0.023522	0.011569	0.008528	0.004291	0.013479	0.051287	0.027357	0.008556	0.023072	0.066334	0.007396	0.020621
eod	0.044905	0.068675	0.008323	0.014754	0.048500	0.012096	0.094014	0.013857	0.011135	0.042521	0.014605	0.032636	0.000608	0.042464	0.096034	0.044406	0.001455	0.045109	0.130604	0.034834	0.040077
