accuracy	0.838947	0.844402	0.839169	0.845655	0.844992	0.846613	0.844254	0.845729	0.845213	0.847424	0.843444	0.844549	0.845655	0.841454	0.843960	0.846171	0.847498	0.849267	0.846982	0.845213	0.844829
recall	0.753923	0.760388	0.753180	0.761605	0.763128	0.760207	0.758989	0.759409	0.760145	0.760510	0.755674	0.758307	0.762477	0.755502	0.756877	0.757784	0.761802	0.762409	0.762581	0.759653	0.759227
precision	0.796676	0.801922	0.798500	0.803454	0.799722	0.804519	0.800268	0.807397	0.800454	0.805400	0.804110	0.804225	0.805371	0.797367	0.801926	0.805568	0.806215	0.810836	0.804272	0.801856	0.803003
f1score	0.770899	0.777175	0.770925	0.778533	0.778328	0.777958	0.775712	0.778199	0.776593	0.778474	0.774518	0.776451	0.779709	0.772318	0.774758	0.776575	0.779605	0.781488	0.779510	0.776698	0.776721
mcc	0.548936	0.560774	0.549816	0.563507	0.561660	0.562985	0.557731	0.564771	0.559148	0.564126	0.557685	0.560655	0.566225	0.551281	0.556984	0.561322	0.566278	0.571196	0.565317	0.559920	0.560516
srp	0.210078	0.206746	0.206822	0.208127	0.211292	0.203959	0.205774	0.203494	0.204485	0.202616	0.203152	0.205532	0.207951	0.209005	0.203497	0.199623	0.204284	0.200888	0.206823	0.208351	0.205625
sru	0.154516	0.171782	0.164334	0.158662	0.166755	0.159115	0.167204	0.160762	0.175690	0.161008	0.153804	0.152449	0.167722	0.149449	0.162546	0.165608	0.160780	0.161377	0.159609	0.146784	0.160998
fprp	0.075992	0.071834	0.071873	0.073303	0.075879	0.069765	0.071585	0.067327	0.072196	0.068581	0.069568	0.070287	0.070729	0.075958	0.070224	0.067206	0.069050	0.065811	0.071742	0.074620	0.071177
fpru	0.065203	0.075593	0.075589	0.061856	0.072943	0.068253	0.078897	0.068311	0.076485	0.069767	0.061518	0.064767	0.071248	0.061713	0.071161	0.069383	0.068664	0.064020	0.066924	0.055417	0.068386
tprp	0.577487	0.584930	0.574768	0.588581	0.591338	0.584868	0.587328	0.581689	0.582948	0.584437	0.575298	0.580604	0.589187	0.584590	0.577488	0.577177	0.585981	0.582299	0.590180	0.589676	0.583543
tpru	0.633218	0.679054	0.619048	0.657807	0.717949	0.641196	0.624585	0.632258	0.695364	0.641935	0.625418	0.648352	0.661290	0.586207	0.652174	0.639498	0.661017	0.673401	0.659722	0.602484	0.647599
spd	0.055562	0.034964	0.042489	0.049465	0.044536	0.044844	0.038570	0.042733	0.028795	0.041607	0.049348	0.053083	0.040230	0.059556	0.040951	0.034015	0.043504	0.039511	0.047214	0.061567	0.044627
aod	0.022471	0.048941	0.023998	0.028889	0.061837	0.027408	0.022284	0.025777	0.058353	0.029343	0.021035	0.031114	0.036311	0.006314	0.037811	0.032249	0.037325	0.044656	0.032362	0.003197	0.031584
eod	0.055731	0.094124	0.044280	0.069227	0.126610	0.056328	0.037257	0.050569	0.112416	0.057498	0.050120	0.067748	0.072103	0.001617	0.074686	0.062322	0.075036	0.091102	0.069542	0.012809	0.064056
