accuracy	0.736667	0.763333	0.730000	0.750000	0.723333	0.753333	0.736667	0.800000	0.740000	0.746667	0.773333	0.710000	0.726667	0.740000	0.720000	0.750000	0.760000	0.726667	0.766667	0.760000	0.745667
recall	0.669365	0.667192	0.652420	0.665527	0.644838	0.659096	0.658198	0.709233	0.658730	0.643097	0.692550	0.632299	0.636795	0.636463	0.647978	0.668165	0.672345	0.651338	0.701593	0.686731	0.662698
precision	0.675715	0.711057	0.696387	0.687888	0.680781	0.684149	0.722917	0.758488	0.686335	0.673353	0.760066	0.664314	0.692932	0.655974	0.673284	0.706137	0.723502	0.673164	0.736068	0.702222	0.698237
f1score	0.672249	0.680137	0.661442	0.673795	0.653083	0.668142	0.667280	0.725877	0.667614	0.652778	0.707887	0.639059	0.644837	0.643640	0.655267	0.679117	0.685516	0.658542	0.712722	0.693182	0.672108
mcc	0.345021	0.375697	0.346025	0.352707	0.323629	0.342330	0.375580	0.465121	0.343960	0.315000	0.447552	0.294881	0.324914	0.291785	0.320264	0.372370	0.392528	0.323767	0.436301	0.388644	0.358904
srp	0.739796	0.797170	0.753555	0.790816	0.793103	0.781553	0.816901	0.804651	0.760204	0.830846	0.832461	0.785000	0.825641	0.807882	0.751220	0.760976	0.803738	0.784689	0.764423	0.740385	0.786250
sru	0.711538	0.795455	0.842697	0.721154	0.731959	0.776596	0.758621	0.776471	0.778846	0.717172	0.733945	0.740000	0.771429	0.731959	0.757895	0.810526	0.767442	0.681319	0.728261	0.771739	0.755251
fprp	0.468085	0.551724	0.514706	0.530612	0.538462	0.528302	0.606061	0.490909	0.500000	0.571429	0.588235	0.612903	0.704918	0.620000	0.550000	0.508772	0.543860	0.596491	0.438596	0.425926	0.544500
fpru	0.512821	0.571429	0.709677	0.527778	0.656250	0.586207	0.567568	0.500000	0.605263	0.606061	0.478261	0.555556	0.486486	0.517241	0.555556	0.600000	0.571429	0.457143	0.538462	0.580645	0.559192
tprp	0.825503	0.889610	0.867133	0.877551	0.913043	0.869281	0.911565	0.912500	0.854167	0.914474	0.921429	0.862319	0.880597	0.869281	0.834483	0.858108	0.898089	0.855263	0.887417	0.850649	0.877623
tpru	0.830769	0.900000	0.913793	0.823529	0.769231	0.861538	0.900000	0.912281	0.878788	0.772727	0.920635	0.843750	0.926471	0.823529	0.881356	0.933333	0.901961	0.821429	0.867925	0.868852	0.867595
spd	0.028257	0.001715	0.089142	0.069662	0.061145	0.004958	0.058281	0.028181	0.018642	0.113674	0.098516	0.045000	0.054212	0.075923	0.006675	0.049551	0.036296	0.103370	0.036162	0.031355	0.050536
aod	0.025001	0.015047	0.120816	0.028428	0.013012	0.025081	0.025029	0.004436	0.064942	0.053557	0.055384	0.037958	0.086279	0.074255	0.026214	0.083227	0.015720	0.086591	0.040186	0.086461	0.048381
eod	0.005266	0.010390	0.046660	0.054022	0.143813	0.007743	0.011565	0.000219	0.024621	0.141746	0.000794	0.018569	0.045874	0.045752	0.046873	0.075225	0.003872	0.033835	0.019493	0.018203	0.037727
