accuracy	0.773333	0.753333	0.740000	0.746667	0.750000	0.770000	0.743333	0.803333	0.770000	0.783333	0.753333	0.750000	0.740000	0.746667	0.756667	0.763333	0.746667	0.753333	0.770000	0.760000	0.758667
recall	0.684634	0.621930	0.649631	0.645417	0.653776	0.647740	0.649377	0.718977	0.686508	0.672130	0.661622	0.659376	0.641443	0.620654	0.666667	0.668687	0.644544	0.655414	0.681985	0.661833	0.659617
precision	0.724974	0.707087	0.720965	0.682283	0.734801	0.714733	0.759415	0.761123	0.730769	0.735047	0.736178	0.734137	0.724000	0.660912	0.735651	0.733052	0.708220	0.717652	0.757310	0.702860	0.724058
f1score	0.697778	0.632548	0.659309	0.656026	0.665174	0.663080	0.656245	0.734198	0.699891	0.689367	0.673990	0.671009	0.650203	0.630925	0.679782	0.683031	0.656026	0.668142	0.697329	0.674130	0.671909
mcc	0.407616	0.317806	0.363665	0.325620	0.380036	0.356228	0.393703	0.478247	0.414923	0.402287	0.390751	0.386346	0.355995	0.278673	0.396359	0.396549	0.346970	0.367838	0.432789	0.362378	0.377739
srp	0.806122	0.863208	0.819905	0.811224	0.842365	0.859223	0.868545	0.795349	0.795918	0.875622	0.848168	0.840000	0.851282	0.852217	0.829268	0.809756	0.836449	0.856459	0.817308	0.793269	0.833583
sru	0.750000	0.852273	0.808989	0.769231	0.793814	0.787234	0.793103	0.764706	0.759615	0.717172	0.761468	0.770000	0.800000	0.762887	0.768421	0.810526	0.779070	0.714286	0.793478	0.804348	0.778031
fprp	0.510638	0.689655	0.632353	0.571429	0.615385	0.641509	0.681818	0.436364	0.538462	0.632653	0.627451	0.629032	0.737705	0.720000	0.633333	0.578947	0.631579	0.649123	0.526316	0.555556	0.611965
fpru	0.538462	0.678571	0.580645	0.611111	0.625000	0.586207	0.594595	0.535714	0.500000	0.484848	0.565217	0.555556	0.486486	0.517241	0.500000	0.571429	0.600000	0.514286	0.615385	0.580645	0.562070
tprp	0.899329	0.928571	0.909091	0.891156	0.949275	0.934641	0.952381	0.918750	0.888889	0.953947	0.928571	0.934783	0.902985	0.895425	0.910345	0.898649	0.910828	0.934211	0.927152	0.876623	0.917280
tpru	0.876923	0.933333	0.931034	0.852941	0.876923	0.876923	0.940000	0.877193	0.909091	0.833333	0.904762	0.890625	0.970588	0.867647	0.932203	0.950000	0.901961	0.839286	0.924528	0.918033	0.900366
spd	0.056122	0.010935	0.010916	0.041994	0.048550	0.071989	0.075441	0.030643	0.036303	0.158450	0.086700	0.070000	0.051282	0.089330	0.060847	0.000770	0.057379	0.142174	0.023829	0.011079	0.056737
aod	0.002709	0.003161	0.014882	0.000734	0.031368	0.056510	0.049802	0.028897	0.009130	0.134209	0.043022	0.058817	0.091808	0.115268	0.055737	0.021916	0.020223	0.114881	0.043222	0.033250	0.046477
eod	0.022406	0.004762	0.021944	0.038215	0.072352	0.057717	0.012381	0.041557	0.020202	0.120614	0.023810	0.044158	0.067603	0.027778	0.021859	0.051351	0.008867	0.094925	0.002624	0.041409	0.039827
