accuracy	0.730000	0.756667	0.726667	0.743333	0.690000	0.746667	0.736667	0.786667	0.753333	0.763333	0.766667	0.710000	0.740000	0.730000	0.726667	0.763333	0.753333	0.733333	0.750000	0.770000	0.743833
recall	0.657737	0.648609	0.655058	0.653762	0.609441	0.654509	0.653566	0.700017	0.671429	0.673585	0.679549	0.629673	0.654577	0.625609	0.655637	0.674749	0.673599	0.665238	0.689338	0.700821	0.661325
precision	0.666275	0.702968	0.689772	0.678119	0.633851	0.675076	0.728044	0.735843	0.705375	0.698770	0.755252	0.664435	0.712500	0.641997	0.682253	0.729371	0.710573	0.682606	0.712383	0.715578	0.696052
f1score	0.661442	0.661614	0.663475	0.662236	0.614167	0.662222	0.662003	0.712987	0.682112	0.683031	0.694252	0.636364	0.664929	0.631679	0.663475	0.688556	0.684659	0.671683	0.697479	0.707127	0.670275
mcc	0.323900	0.347350	0.343078	0.330986	0.242064	0.328943	0.374272	0.434385	0.375272	0.371502	0.428160	0.292046	0.362478	0.267103	0.336840	0.400412	0.382389	0.347410	0.401060	0.416137	0.355289
srp	0.738589	0.823045	0.758893	0.762295	0.744770	0.774194	0.824000	0.805556	0.798319	0.785124	0.820408	0.796610	0.824268	0.803279	0.758065	0.787402	0.780876	0.729839	0.748971	0.771654	0.781808
sru	0.728814	0.789474	0.787234	0.821429	0.852459	0.769231	0.760000	0.666667	0.677419	0.741379	0.763636	0.703125	0.704918	0.678571	0.730769	0.847826	0.734694	0.788462	0.684211	0.608696	0.741951
fprp	0.482759	0.580645	0.544304	0.530303	0.522388	0.491525	0.600000	0.500000	0.550725	0.517241	0.569444	0.616438	0.608696	0.637931	0.532468	0.506849	0.484375	0.486486	0.434783	0.453125	0.532524
fpru	0.571429	0.666667	0.600000	0.631579	0.833333	0.695652	0.642857	0.478261	0.476190	0.541667	0.560000	0.560000	0.551724	0.476190	0.578947	0.736842	0.642857	0.611111	0.592593	0.476190	0.596205
tprp	0.819672	0.906077	0.856322	0.848315	0.831395	0.862434	0.920000	0.901042	0.899408	0.869565	0.924855	0.877301	0.911765	0.854839	0.859649	0.900552	0.882353	0.833333	0.873563	0.878947	0.875569
tpru	0.870968	0.878788	0.925926	0.918919	0.870968	0.827586	0.909091	0.840000	0.780488	0.882353	0.933333	0.794872	0.843750	0.800000	0.818182	0.925926	0.857143	0.882353	0.766667	0.720000	0.852366
spd	0.009776	0.033572	0.028341	0.059133	0.107689	0.004963	0.064000	0.138889	0.120900	0.043745	0.056772	0.093485	0.119350	0.124707	0.027295	0.060425	0.046183	0.058623	0.064761	0.162958	0.071278
aod	0.069983	0.029366	0.062650	0.085940	0.175259	0.084640	0.015974	0.041390	0.096727	0.018607	0.000483	0.069434	0.062493	0.108290	0.002506	0.127683	0.066636	0.086822	0.025457	0.067941	0.064914
eod	0.051296	0.027289	0.069604	0.070604	0.039572	0.034848	0.010909	0.061042	0.118920	0.012788	0.008478	0.082429	0.068015	0.054839	0.041467	0.025373	0.025210	0.049020	0.106897	0.158947	0.055877
